,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80,Task_81,Task_82,Task_83,Task_84,Task_85,Task_86,Task_87,Task_88,Task_89,Task_90,Task_91,Task_92,Task_93,Task_94,Task_95,Task_96,Task_97,Task_98,Task_99,Task_100,Task_101,Task_102,Task_103,Task_104,Task_105,Task_106,Task_107,Task_108,Task_109,Task_110,Task_111,Task_112,Task_113,Task_114,Task_115,Task_116,Task_117,Task_118,Task_119,Task_120,Task_121,Task_122,Task_123,Task_124,Task_125,Task_126,Task_127,Task_128,Task_129,Task_130,Task_131,Task_132,Task_133,Task_134,Task_135,Task_136,Task_137,Task_138,Task_139,Task_140,Task_141,Task_142,Task_143,Task_144,Task_145,Task_146,Task_147,Task_148,Task_149,Task_150,Task_151,Task_152,Task_153,Task_154,Task_155,Task_156,Task_157,Task_158,Task_159,Task_160
Node_1,13.6151,16.8993,29.98,17.6826,28.902,30.0743,17.2626,26.6509,25.8886,12.3637,16.3348,14.6827,20.3938,17.9493,18.0802,17.7467,27.3915,12.0404,17.75,21.5297,22.2602,19.3496,24.357,26.4488,23.1256,26.5488,19.318,30.0386,12.0865,15.5531,16.5263,24.9877,26.6604,16.78,21.3129,20.3835,16.6653,15.162,12.751,29.3489,17.6465,15.8482,23.4884,24.7922,13.0868,24.6935,13.2332,24.1838,25.3178,28.7119,15.4501,28.3399,13.2744,20.3027,29.495,19.2309,25.8729,24.6677,12.6879,23.8081,25.2931,21.4861,21.0633,21.584,18.6233,13.8523,19.0271,29.8864,14.6029,12.8704,21.3986,16.3425,25.8288,27.1234,15.6236,24.8727,13.145,31.27,22.7581,24.4735,26.114,24.6494,31.1016,33.4492,15.8909,24.1198,15.1228,29.8123,24.9226,20.2128,21.7239,25.0036,10.7118,27.6298,17.153,23.0055,12.3587,10.4179,13.5418,24.573,20.0434,18.1345,20.4854,18.2602,17.0037,19.6951,28.7593,21.123,19.7947,25.0252,13.8872,25.8042,17.3716,23.5908,16.2583,21.6157,22.2972,22.3293,17.0718,8.8924,14.9749,17.0969,16.8496,22.0093,14.1751,26.4871,18.0718,18.8561,13.0221,24.2119,21.5379,26.0769,23.799,21.1301,12.6593,13.0211,22.1866,14.7406,18.5011,33.4063,19.1821,22.6796,24.4903,10.6432,23.7652,23.3145,24.0228,18.2779,29.0458,10.7289,30.9603,25.824,19.1921,31.709,25.3047,13.2905,24.825,28.2864,24.8726,17.6832
Node_2,15.655,19.332,38.3529,22.5547,35.0997,38.7227,19.7081,32.6306,31.3688,13.5807,19.964,18.1265,27.4004,23.0305,21.7777,22.7164,33.679,13.732,22.6405,25.2343,28.4487,25.7388,28.4941,32.4384,24.2325,32.9598,23.4869,38.2129,12.4731,18.1447,20.2058,30.7208,31.1902,18.4436,25.39,20.695,17.4633,18.279,15.9509,35.8544,21.7731,18.7632,25.8247,29.014,15.7306,27.4388,17.1342,31.0515,31.1554,37.3925,16.5518,35.6433,14.2074,24.2136,36.1794,19.0486,29.1379,31.1122,15.6921,31.1257,31.0585,26.5709,25.2601,24.5456,21.8202,16.2352,23.186,36.617,17.6436,15.3514,23.9206,22.1315,31.8813,32.7284,18.9612,31.1878,15.3189,37.8888,27.0866,28.5423,31.5237,31.5201,37.3785,39.7072,21.278,29.9329,19.6332,35.6046,30.1654,24.3926,24.0659,29.0633,14.1841,33.3555,20.8176,26.8794,13.5913,11.79,17.5866,32.3398,24.8267,21.4296,24.9108,21.6754,19.5711,22.7402,36.799,24.8976,25.7064,31.4865,18.2612,31.9751,20.5366,29.5055,18.3833,22.2525,26.0355,26.224,19.6287,9.6794,16.1856,22.3732,19.0571,26.9966,16.4934,33.5571,21.9738,23.2547,15.1064,29.4344,24.4665,33.8962,28.2929,27.9,16.0401,15.0534,28.2394,16.1049,23.2988,40.2088,22.3745,28.2664,27.619,13.8141,28.7202,28.601,27.8918,22.2931,36.0444,12.8108,37.874,31.2758,25.2603,37.4328,31.7839,16.3288,31.2096,34.2847,29.6188,20.9979
Node_3,12.003,14.5622,30.872,18.0949,29.5007,31.3835,15.2272,26.9064,25.2245,10.8626,15.2931,13.8754,21.612,19.3655,17.0765,18.3283,27.5176,10.1844,17.357,19.3592,23.497,21.2692,23.9506,26.0571,19.3905,26.8726,19.2913,31.0317,9.8627,14.3189,15.6172,24.7755,25.354,14.2867,21.0774,16.4806,13.9394,14.023,12.1142,30.0894,17.7853,14.8429,21.4013,23.5754,11.5096,21.6648,12.9293,25.7781,25.9661,30.2483,12.7732,28.7793,11.4183,20.1245,29.452,15.5493,23.9503,25.8537,12.6547,26.0606,25.9295,21.1865,21.012,20.4493,17.4998,13.016,17.9417,29.2451,13.3988,11.0861,18.2875,17.7155,26.9559,25.976,14.7091,25.6689,11.7114,31.4931,21.6552,23.3909,25.4414,26.2043,30.6415,32.5676,17.3664,23.6755,15.4854,29.8684,24.3964,18.6826,19.8854,24.3434,9.9103,27.2052,15.7965,20.7382,10.8092,9.0243,12.9445,26.3529,19.2191,17.7686,20.5503,16.7298,15.4734,17.5783,30.0301,19.0503,21.5664,25.9844,14.253,26.7516,15.2706,23.3294,15.039,18.3913,21.7853,20.2554,15.1538,7.6143,12.3657,18.6764,14.3636,20.9984,12.9406,27.3491,17.7014,17.9142,11.486,23.7702,19.2372,27.0903,23.5348,23.1538,12.7732,10.9424,23.5124,12.5857,18.8913,32.7139,17.9986,23.2138,22.7066,10.2095,23.2441,22.6429,23.3552,17.8927,29.7501,9.9169,30.3061,24.6354,21.0681,31.5285,26.2651,12.9855,26.3901,27.3695,24.2401,17.147
Node_4,9.1369,9.4686,44.5833,25.665,41.7226,47.0177,11.6489,36.7817,30.6535,8.159,15.833,14.9346,33.6091,31.6282,18.3965,26.6892,37.0237,5.6812,21.2415,16.518,36.3248,36.1972,30.1759,32.8809,10.1929,36.9792,25.4918,45.2502,3.8262,13.8123,16.8295,31.9408,28.2011,8.517,27.028,5.6353,7.1532,13.7594,13.3071,43.087,24.1662,15.4581,19.7833,26.2138,8.552,16.0894,15.747,40.8529,37.198,46.4471,5.7529,39.9485,7.4313,26.002,38.8744,5.373,23.8244,39.2654,16.6264,43.9841,37.1056,26.7914,27.7093,22.478,18.5141,13.7671,19.1677,36.0454,12.6475,7.1172,11.2006,29.1367,40.5472,29.5991,15.6172,37.3725,9.4876,42.7707,24.0918,26.5517,30.9179,41.2604,38.7524,39.5645,29.1452,29.4591,21.9677,39.9569,30.1471,18.2746,18.7914,29.6362,9.5987,34.3213,15.1705,17.9516,7.8792,6.1156,14.5034,42.3197,21.935,22.0891,27.5543,15.7191,14.1154,14.4133,45.093,16.5089,36.0227,38.4752,20.3314,39.4942,11.3488,29.7575,14.9002,11.0668,26.8461,18.1191,12.0366,4.7659,5.4778,31.3701,8.5918,23.5224,11.9789,39.8387,21.9117,19.7139,8.7571,29.6627,15.8848,40.0506,30.1795,39.1441,17.3697,5.7203,36.7397,7.6906,26.6552,40.5065,18.9339,33.0211,22.7493,11.6001,28.6443,27.1548,28.2904,22.0949,42.4205,9.7162,37.4035,27.6306,35.7753,41.2009,38.8581,15.9131,41.6086,32.4198,29.5389,20.5223
Node_5,8.594,9.3167,37.5544,21.6826,34.6067,39.3758,10.8875,30.8269,26.2615,7.4645,14.1765,13.3047,28.3472,25.97,16.1802,22.4445,31.1909,5.8755,18.5959,15.2235,30.1316,29.8173,25.2551,28.0754,9.9629,31.1196,21.462,37.9521,4.0815,12.2827,14.914,27.1671,24.2594,8.3436,22.7104,6.1804,7.0451,12.4058,11.8708,35.7269,20.3435,13.5904,17.1925,22.5553,8.36,14.8843,13.8987,33.7643,30.9263,38.8471,6.0536,33.7273,6.9403,21.823,32.8575,5.6885,20.6269,32.54,14.1161,36.092,30.8315,22.9474,23.2078,19.123,16.1277,11.9952,16.9952,30.9327,11.5393,7.2696,11.0309,24.3276,33.409,25.698,13.8401,31.1849,8.8423,35.7475,20.8979,22.7007,26.4433,34.0993,32.7828,33.588,24.1332,25.3683,18.6877,33.3084,25.7158,16.4999,16.3166,24.9142,9.1641,29.1066,13.8103,16.4459,7.2739,5.8899,13.1139,35.1762,19.2786,18.6205,23.1266,14.2143,12.6362,13.3062,37.658,15.2017,29.5587,32.0295,17.3606,32.7135,10.9633,25.5615,12.9401,10.2394,22.5554,16.5012,11.1821,4.5624,5.8532,25.7753,8.6109,20.6729,10.7504,33.3692,18.7215,17.4518,8.2833,25.2949,14.484,33.7615,25.3361,32.2128,14.778,6.1347,30.363,7.4387,22.433,34.4518,16.4781,27.6295,19.678,10.4448,24.4326,23.4685,23.7964,18.9145,35.4167,8.7172,32.0659,24.1251,29.3827,34.3507,32.3337,13.6916,34.1758,27.9459,25.0947,17.4829
Node_6,3.6863,4.0865,14.7405,8.5264,13.7184,15.3976,4.6776,12.2403,10.559,3.2545,5.7785,5.3907,10.9872,10.0969,6.5905,8.8033,12.3932,2.6347,7.3998,6.4032,11.7683,11.5059,10.1846,11.2239,4.6822,12.3213,8.5576,14.8985,2.0449,5.0999,6.0548,10.8352,9.9099,3.7627,9.1129,3.2082,3.3249,5.1006,4.7869,14.1341,8.0716,5.5762,7.2831,9.2135,3.5461,6.4757,5.517,13.1544,12.2206,15.1383,2.89,13.3158,3.1198,8.7488,13.0827,2.9982,8.6063,12.7503,5.6148,13.9659,12.1883,9.1583,9.2772,7.8685,6.6215,4.9246,6.9106,12.3949,4.761,3.145,4.9217,9.3854,13.1423,10.4051,5.6362,12.2707,3.7483,14.2268,8.506,9.2592,10.6396,13.2988,13.1513,13.5577,9.3128,10.1324,7.3279,13.3065,10.3255,6.7844,6.8791,10.0942,3.6872,11.6698,5.6815,6.9117,3.1838,2.579,5.2374,13.645,7.7631,7.5053,9.209,5.8938,5.2989,5.6477,14.7371,6.3725,11.4558,12.5796,6.7908,12.8809,4.675,10.1731,5.3966,4.7351,9.1194,6.8989,4.7708,2.0502,2.7888,9.9758,3.8371,8.3559,4.4878,13.1088,7.5095,7.0578,3.5425,10.1389,6.1712,13.1961,10.1703,12.4475,5.837,2.7591,11.8561,3.3501,8.8432,13.8448,6.7763,10.9025,8.2006,4.1672,9.8156,9.4254,9.6484,7.5842,13.9821,3.5929,12.8511,9.776,11.3553,13.7807,12.7032,5.4863,13.359,11.2629,10.1203,7.067
Node_7,7.0743,7.7385,29.3392,16.9517,27.484,30.7157,8.9973,24.4215,20.894,6.3124,11.2502,10.5116,21.8476,20.3025,12.9173,17.5332,24.676,4.9215,14.5126,12.3594,23.5668,23.1006,20.3411,22.2338,8.9358,24.5405,17.0453,29.7057,3.8284,9.9646,11.8315,21.4949,19.5911,7.1523,18.1694,5.985,6.3332,9.9097,9.3271,28.319,16.0753,10.935,14.3652,18.2126,6.7102,12.5108,10.7844,26.3804,24.4579,30.2112,5.4048,26.4844,6.021,17.451,26.0166,5.6514,16.9875,25.5456,11.1455,28.0868,24.3993,18.1185,18.5185,15.626,13.0305,9.6904,13.5022,24.5073,9.2117,5.8764,9.3311,18.7377,26.3958,20.4895,11.0152,24.5188,7.2103,28.4185,16.7594,18.3468,21.0679,26.6713,26.1509,26.9275,18.6571,20.004,14.5268,26.6109,20.4655,13.1744,13.5698,20.1283,7.0039,23.1817,10.9996,13.3687,6.1576,4.9177,10.1468,27.2969,15.2111,14.9473,18.3646,11.4442,10.3337,10.9011,29.4324,12.3014,23.0397,25.1588,13.4405,25.8158,8.8862,20.1009,10.6396,9.1828,18.1874,13.3681,9.1915,3.9248,5.1921,20.0513,7.2336,16.376,8.7417,26.1518,14.874,13.7941,6.7837,20.0968,11.9668,26.2534,20.2849,25.0022,11.5739,5.0991,23.7787,6.3932,17.6102,27.4733,13.3408,21.7626,16.1914,8.0859,19.4556,18.5863,19.2355,15.0105,27.9349,6.9943,25.4196,19.2094,22.8272,27.5609,25.4109,10.8366,26.8617,22.2357,20.0942,14.0177
Node_8,10.7718,10.7034,56.8016,32.6264,54.2006,60.161,13.8475,47.3285,38.7852,10.0133,19.2315,18.1892,42.5377,41.1696,22.7774,34.0501,47.4077,6.099,26.1476,19.7298,46.8998,46.829,39.1366,41.6423,12.1251,47.3317,32.7111,57.906,4.2757,17.0558,20.6359,40.571,35.7847,9.8485,34.844,6.2492,8.4569,16.6541,16.1463,55.9445,30.9488,19.2133,25.2618,33.2544,9.5517,19.4835,19.1897,52.8828,48.149,59.424,6.3101,50.9043,9.0653,33.5467,49.6574,6.3027,30.3235,50.811,21.1328,57.1817,48.0654,33.7963,35.7792,28.9361,23.2434,17.2796,23.507,45.4603,15.1308,7.586,12.7817,37.1878,52.8496,37.0531,19.1769,48.1168,11.2335,55.2387,30.2591,33.88,39.1998,53.4356,49.6178,50.6131,37.5134,36.9673,27.6954,51.8192,38.2914,22.0855,23.9623,38.3449,10.7214,43.8234,18.1689,21.5799,9.5945,7.092,17.2486,54.3783,27.0346,28.44,35.4471,19.0441,17.389,17.2648,57.8792,19.7041,46.8612,49.6144,25.5057,51.2331,12.9091,37.3798,18.9015,13.8529,34.724,21.8691,14.3542,5.6522,5.8752,40.7336,9.5807,29.0432,14.684,51.0639,27.7726,24.1561,10.2383,37.6593,19.3335,50.8979,38.9469,50.7188,21.9642,5.8387,47.6047,9.0225,34.0523,51.6211,23.8112,42.4488,28.9661,13.8559,36.3931,34.031,36.5944,27.9451,54.6612,11.8398,47.2258,34.3953,46.4455,53.5182,50.1372,20.0156,54.2604,40.8036,37.7461,26.1775
Node_9,6.466,6.6925,30.2379,17.4037,29.2473,31.8965,8.3231,25.5706,21.2576,6.1181,10.7188,10.0559,22.2816,21.7241,12.6855,18.113,25.6253,4.0019,14.1193,11.4957,24.8549,24.476,21.5493,22.6623,8.3294,25.4741,17.7591,30.8447,3.3462,9.744,11.4411,22.019,20.008,6.4024,19.0671,5.2244,5.8599,9.393,8.8681,30.1163,16.6999,10.8039,14.7838,18.5925,5.6694,11.8939,10.3203,27.9528,25.8774,31.3745,4.5828,27.292,5.7892,18.3377,26.9048,5.232,17.4115,27.0376,11.4317,30.004,25.8471,18.3491,19.4915,16.3237,13.0799,9.7233,13.0604,24.8063,8.5774,4.6825,8.1963,19.3931,28.2721,20.4816,10.6763,25.718,6.6243,29.9346,16.8397,18.9079,21.5057,28.2811,27.1342,27.8868,19.593,20.0839,14.7091,28.2157,20.9549,12.4579,13.94,21.2305,5.8484,23.9452,10.2573,12.5534,5.9018,4.4021,9.3382,28.5697,14.8293,15.6461,19.2166,10.867,10.0686,10.1882,30.7256,11.4263,24.6354,26.4641,13.4973,27.4253,7.7123,20.2177,10.8485,9.1448,19.1772,12.6258,8.5378,3.6318,4.2906,21.3748,6.1634,16.0114,8.4528,27.228,15.1779,13.3234,6.1247,20.5645,11.4529,26.9491,21.3228,26.5575,11.7742,3.9026,25.2324,5.8322,18.2273,28.2834,13.4269,22.7618,16.6069,7.4929,19.9298,18.6171,20.279,15.2638,29.3335,6.6997,25.7765,19.029,24.3302,29.2887,26.7548,10.9204,28.8165,22.4257,20.7737,14.4472
Node_10,7.2286,8.0451,29.1989,16.8947,26.7105,30.4845,9.1319,23.9525,20.7267,6.2124,11.5017,10.7516,22.0007,19.8388,12.9973,17.4309,24.3143,5.2112,14.828,12.6224,23.1858,22.7884,19.6702,22.0887,8.7035,24.2252,16.7362,29.4323,3.7548,9.9661,12.0222,21.315,19.2554,7.232,17.7121,5.7934,6.1817,10.1207,9.5906,27.5582,15.8465,10.9311,13.8318,17.9051,7.1478,12.4525,11.1278,25.9093,23.8885,30.0298,5.4801,26.2907,5.8751,17.0049,25.675,5.2774,16.5061,25.0413,11.0574,27.5328,23.8088,18.0807,18.0504,15.104,12.9067,9.6006,13.7083,24.42,9.4801,6.3663,9.5632,18.7477,25.6392,20.4676,11.1638,24.1209,7.3853,27.7427,16.6541,17.9485,20.8526,26.1711,25.6698,26.3891,18.5039,20.054,14.6125,25.8292,20.2389,13.4711,13.1074,19.476,7.6659,22.8221,11.3256,13.5913,6.0868,5.0332,10.6519,27.0636,15.4437,14.5641,17.9956,11.6345,10.3113,11.063,29.1093,12.5898,22.556,24.7289,13.5981,25.1927,9.3311,20.1627,10.372,8.6812,17.6181,13.5803,9.3368,3.9088,5.3298,19.6798,7.5229,16.5729,8.776,25.8612,14.7451,14.0487,6.9825,19.8969,11.9749,26.239,19.7509,24.6108,11.5734,5.5276,23.3093,6.4076,17.4481,27.0725,13.1846,21.4189,15.7345,8.463,19.2305,18.6119,18.6115,14.9129,27.422,7.0963,25.3006,19.2796,22.4215,26.6635,24.9586,10.8252,26.1417,22.1455,19.7207,13.7681
