,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80,Task_81,Task_82,Task_83,Task_84,Task_85,Task_86,Task_87,Task_88,Task_89,Task_90,Task_91,Task_92,Task_93,Task_94,Task_95,Task_96,Task_97,Task_98,Task_99,Task_100,Task_101,Task_102,Task_103,Task_104,Task_105,Task_106,Task_107,Task_108,Task_109,Task_110,Task_111,Task_112,Task_113,Task_114,Task_115,Task_116,Task_117,Task_118,Task_119,Task_120,Task_121,Task_122,Task_123,Task_124,Task_125,Task_126,Task_127,Task_128,Task_129,Task_130,Task_131,Task_132,Task_133,Task_134,Task_135,Task_136,Task_137,Task_138,Task_139,Task_140,Task_141,Task_142,Task_143,Task_144,Task_145,Task_146,Task_147,Task_148,Task_149,Task_150,Task_151,Task_152,Task_153,Task_154,Task_155,Task_156,Task_157,Task_158,Task_159,Task_160,Task_161,Task_162,Task_163,Task_164,Task_165,Task_166,Task_167,Task_168,Task_169,Task_170,Task_171,Task_172,Task_173,Task_174,Task_175,Task_176,Task_177,Task_178,Task_179,Task_180,Task_181,Task_182,Task_183,Task_184,Task_185,Task_186,Task_187,Task_188,Task_189,Task_190,Task_191,Task_192,Task_193,Task_194,Task_195,Task_196,Task_197,Task_198,Task_199,Task_200
Node_1,24.3856,15.9271,27.4867,13.0764,13.6531,31.8052,14.4527,13.008,17.895,22.8139,10.1532,22.3362,21.2858,11.2681,25.7696,22.6101,25.4458,18.3562,28.4002,19.9234,15.6306,14.3818,28.756,22.6299,12.1888,17.6123,18.4842,25.108,21.3708,29.051,15.595,12.2687,6.7428,26.7532,13.8498,13.2457,14.5136,31.9286,17.5281,20.0683,24.4944,13.6914,10.9314,16.7972,26.4533,27.7483,17.515,29.6456,27.004,22.1709,16.8134,23.9012,18.9826,13.5022,13.9876,20.0286,12.0325,13.8221,25.0899,14.3667,20.8215,22.4028,21.1062,15.2373,28.1716,23.0423,12.1252,20.5697,7.8122,10.1748,17.3671,22.9206,19.5686,25.2395,16.019,16.0596,26.0844,10.6943,22.2429,9.1879,23.174,24.035,19.6724,14.5776,27.78,21.8792,24.6117,21.8875,8.5278,19.0782,13.3447,18.9968,32.5998,20.8087,30.2495,29.8183,25.2061,14.1818,24.3078,16.8247,17.1777,17.5605,19.7369,24.1277,16.6754,18.0077,15.2219,21.2395,26.3071,19.8974,16.4552,23.5344,21.4741,21.0342,17.4423,13.8423,27.4092,14.7779,13.9707,9.7233,15.3972,19.7938,23.2966,21.2591,10.9092,23.6653,14.1554,16.4967,12.7997,25.172,14.9089,16.1767,18.13,10.8082,27.0482,25.9754,16.3683,30.1686,19.2737,22.0878,26.7093,13.7516,29.5012,15.3642,15.5231,22.4635,15.3261,27.1796,10.6165,25.6139,14.9237,14.5213,25.8835,27.8512,12.2128,25.4897,14.9739,12.7149,14.8001,21.6773,17.9007,26.2014,18.5551,31.1571,12.0288,11.9543,25.8098,10.0308,22.0743,13.6011,19.3406,13.1512,27.2483,25.325,20.8945,16.0436,22.372,15.6388,21.5193,19.1765,18.0109,13.1269,12.9529,12.487,14.9222,12.224,14.2352,11.3354,21.6451,10.2117,26.0186,19.8629,17.3286,16.551,26.3452,18.0901,14.0955,26.8716,12.6933,16.3948
Node_2,34.4987,22.2019,38.1833,18.9517,19.6497,43.988,20.6078,18.3018,25.2782,32.4748,14.733,31.2666,29.7446,16.0959,36.6079,31.0778,36.1324,26.6927,39.7672,28.094,22.3261,20.2239,40.452,31.3873,17.3607,24.5368,25.44,34.4865,30.5797,40.1456,22.8533,17.4109,9.7062,37.0198,19.7649,18.8808,21.0651,44.7479,25.0832,27.9405,34.2746,19.2914,15.4388,23.8164,36.9219,38.3998,25.4463,41.4729,37.7472,30.4367,23.5668,33.086,26.553,19.8804,19.9631,27.7461,17.0683,19.5578,34.522,20.8091,29.7081,30.8747,29.9879,22.3681,38.8979,32.1358,17.9427,29.1457,12.0186,15.1916,25.1811,31.8954,28.1693,35.1215,23.1541,22.911,35.729,15.6754,31.7328,13.9696,31.6378,32.9542,27.9112,20.3191,38.8168,29.8003,33.598,30.8838,12.2699,26.7794,19.3619,27.0043,45.4238,29.5806,42.4336,41.6242,35.8839,20.3441,33.2903,24.383,24.8012,24.4968,28.166,34.0029,23.576,25.7321,21.7557,30.3254,36.5337,27.7098,22.734,33.5335,30.4207,29.7917,24.9791,19.5181,38.466,20.5796,20.1481,13.7252,21.7929,28.1305,32.9544,30.004,15.3953,33.0698,21.0493,23.785,18.732,35.134,20.867,23.0736,25.0459,15.4192,37.8131,35.8012,23.5579,41.8627,27.844,31.3728,36.5177,20.2406,41.2989,22.3478,22.1123,31.9534,21.3879,37.4792,15.5775,35.3781,21.9487,20.9958,35.9487,38.2305,17.7492,35.4037,20.8375,18.5829,21.6794,30.8278,24.7769,36.3055,26.6291,43.5499,17.7072,17.9514,35.8213,14.8534,31.2033,19.0331,27.4732,19.1316,38.1502,34.9757,29.0529,22.6594,31.0766,21.896,29.7331,27.3268,25.5626,18.7328,18.9544,18.4526,21.9409,17.64,20.6314,16.6282,30.8802,14.7054,35.8471,27.1238,24.5704,22.7421,36.4916,25.3962,20.7637,37.9743,18.4072,23.789
Node_3,29.9275,19.1327,32.9123,16.9922,17.7163,37.9242,17.9458,16.13,21.7154,28.3688,13.0265,27.291,25.5665,14.0877,31.8248,26.7314,31.5221,23.8309,34.3604,23.9982,19.6191,17.838,34.9505,27.5715,15.0522,20.7012,21.656,29.7272,26.4951,34.6313,20.2368,15.1683,8.6626,31.7433,17.4994,16.6537,18.7417,38.5764,21.6325,24.3243,29.2215,16.9992,13.4728,20.7039,31.5733,32.9095,22.2142,35.7077,32.2352,26.1538,20.1153,28.4269,22.5376,17.8324,17.0793,24.0921,14.809,17.3903,29.7147,18.0494,25.5569,26.2174,26.0515,19.713,33.3959,27.6752,16.0139,25.2114,10.5847,13.3553,21.8908,27.6282,24.479,30.0851,19.8085,20.234,30.6793,13.9274,27.5467,12.3355,26.6941,28.2611,24.4002,17.2092,33.3185,25.0221,28.6535,26.386,10.9606,23.0889,16.6316,23.3583,39.3309,25.5762,36.4484,36.0256,31.2914,17.6169,28.1837,21.1488,21.9558,21.3533,24.4044,29.2436,20.6569,22.3081,19.047,26.4605,31.0787,23.386,19.6123,29.1205,25.8747,25.6536,21.732,17.1014,33.2674,17.7537,18.1295,12.113,18.8246,24.4597,28.5969,25.3067,13.3871,28.0593,18.7927,21.222,16.7615,30.4112,18.1323,19.7836,21.562,13.4797,32.419,31.1712,20.0807,36.1513,24.8023,27.0395,31.3287,17.9333,35.8141,19.9093,18.9448,27.8023,18.7292,32.0086,13.9591,30.0077,19.3731,18.3548,31.4904,33.0823,15.9655,30.7152,18.1199,16.1604,19.2833,26.7563,21.3989,30.8963,23.5352,37.4447,15.8315,15.9655,30.9322,12.8911,27.0837,16.7062,23.7163,16.7325,32.8584,29.8889,25.4808,19.4796,27.4457,19.3206,25.467,23.7549,21.8604,16.6122,16.5625,16.2793,19.3178,15.7818,17.9098,14.6556,26.9221,13.137,30.9432,23.0765,21.8397,19.2613,31.1463,22.2239,18.6228,33.132,16.2723,20.9028
Node_4,28.3164,21.2656,36.9228,5.73,4.9299,43.0875,15.3328,11.5695,24.0787,23.0158,7.1442,24.295,29.2303,10.8135,28.5157,32.0523,26.5373,9.303,36.1107,28.9733,13.8251,12.6132,36.1124,22.7687,13.9702,30.206,29.5108,34.6976,24.4035,39.143,9.8729,13.1395,3.7557,38.793,10.3344,10.8919,8.4504,41.8081,21.5135,23.1886,37.1014,12.1444,11.5668,18.7177,38.8701,40.4854,16.5032,39.6905,40.1999,31.9157,25.0271,33.7767,30.2841,4.857,19.3634,24.456,13.8185,9.6841,35.166,15.4555,26.7423,36.6425,23.6166,10.9445,40.425,30.9989,5.2928,24.8533,4.1701,7.0866,17.8766,28.6128,20.8233,36.5728,21.4823,12.7687,38.0802,6.0591,24.8573,4.8818,41.1711,35.5414,19.8245,23.9814,38.8421,40.852,39.1496,31.7092,4.6193,24.8343,16.7071,22.7377,40.7807,25.0657,41.5039,37.3349,26.2506,16.2088,41.5204,18.0718,12.0326,19.7582,22.7245,32.1653,16.3316,20.4571,14.4888,21.6399,41.5412,34.029,22.1709,26.2481,32.5548,27.1942,18.524,13.6998,34.1621,19.4973,5.4592,8.2734,19.0626,21.8028,26.9257,35.6942,12.2914,37.9756,5.7805,9.1625,5.5646,31.4852,17.4448,21.7826,25.1022,10.6616,38.3429,30.9249,23.294,39.6287,11.1606,27.9664,39.5753,8.2999,35.5838,8.4069,21.1925,24.389,15.9352,41.6615,4.1869,42.2184,10.159,13.5682,27.2274,36.6335,4.4304,31.2732,17.6404,12.6152,8.1049,24.5538,23.6377,41.3895,14.042,42.5762,5.1109,5.279,33.9157,9.8334,25.4742,13.4117,23.9158,11.8605,36.2298,38.4132,21.4231,21.3884,20.1717,13.8676,31.7349,21.0172,25.4234,9.3971,11.6042,8.3734,10.8988,6.1055,15.0628,8.1591,22.4557,5.4828,35.0316,32.4101,12.1055,27.9831,40.2723,18.6275,5.0696,28.4709,9.0057,13.4965
Node_5,36.8289,27.2093,47.0778,8.1348,6.9632,54.6984,20.1627,14.9625,31.2301,30.2277,9.8123,31.1989,37.4994,14.2862,37.2954,40.4738,34.7193,13.1544,46.4112,37.4981,18.3013,16.2995,46.6469,28.8645,18.3195,38.6923,37.3924,43.7597,32.1807,49.6449,13.9351,17.171,5.1437,49.3195,13.7252,14.3985,11.7615,53.7885,28.3272,29.5936,47.6757,15.7416,15.0246,24.4211,49.826,51.4794,22.3509,50.9712,51.6055,40.2668,32.2088,42.9426,38.9097,7.4268,25.3674,31.0522,18.0321,12.6754,44.4401,20.7264,35.0679,46.4998,30.8889,15.3374,51.2804,39.6847,7.9823,32.3707,6.6995,10.2774,24.0483,36.522,27.7171,46.7436,28.5255,16.9181,47.9575,8.6441,32.6757,7.6418,51.9335,44.8141,25.9213,30.7237,49.8308,51.4973,49.2555,41.065,6.3296,32.0027,22.3236,29.7278,52.129,32.7695,53.4503,47.8205,34.4607,21.4385,52.4604,24.2536,16.3733,25.2691,29.8656,41.6205,21.2584,26.9353,19.1608,28.531,53.0378,43.5755,28.1124,34.4528,42.3026,35.3797,24.4953,17.7647,44.0134,24.9189,7.7114,10.7581,24.7919,28.5324,35.0168,46.2036,15.943,48.7508,8.9343,12.5986,8.1341,40.3222,22.4042,28.5324,31.8408,14.0514,49.2172,39.0198,30.7514,50.4576,15.3762,36.5035,49.7728,11.8763,45.7148,11.8172,27.7167,31.9602,20.3771,52.8409,6.2455,53.6806,14.3514,18.2561,34.6032,46.12,6.4723,39.827,22.5043,17.1826,11.5834,32.1448,30.02,52.7416,18.8299,54.6336,7.6217,8.2777,43.1925,13.646,33.102,17.209,31.2287,16.1297,46.5648,48.7807,27.2586,27.738,25.5825,17.7996,40.2996,27.599,33.1163,12.4957,15.9269,11.955,15.2976,8.4737,20.229,11.4169,29.564,7.5329,44.2938,40.8119,15.9097,35.4434,51.2821,24.0086,7.7643,37.0104,12.3479,18.3693
Node_6,20.5035,14.6165,25.1839,5.9255,5.3742,29.1024,11.496,8.6856,16.9731,17.3625,6.2397,17.3577,20.1157,8.3174,21.023,21.2861,19.7675,9.19,25.2141,20.1293,10.8316,9.4818,25.5061,16.0967,10.2928,20.1536,19.4279,23.0684,18.1783,26.4106,9.2197,9.7238,3.4483,26.0325,8.4262,8.6341,7.8698,29.1254,15.8099,16.2109,25.2855,9.1593,8.4817,13.7217,26.4658,27.1544,13.3087,27.4661,27.4034,21.1147,17.1454,22.7462,20.5014,5.8945,13.8616,16.7823,10.0853,7.8112,23.4272,11.983,19.3753,24.1257,17.3814,9.8375,27.0466,21.3064,5.9695,17.9352,4.9058,6.7727,14.0366,19.7689,15.9548,24.8033,15.844,10.2317,25.054,5.9011,18.4699,5.538,26.5188,23.3996,14.8375,16.0832,26.6649,26.1326,25.4187,22.0681,4.275,17.3697,12.5832,16.5497,28.2461,18.2247,28.7804,25.9566,19.6805,12.1394,26.9564,14.0343,10.3592,13.9289,16.8004,22.6,12.1842,15.2074,11.1804,16.4127,27.8062,22.6971,14.952,19.4559,22.6757,19.3906,14.0289,10.1304,24.0358,13.3948,5.802,6.3271,13.6686,16.1034,19.5073,24.3775,8.8968,25.6472,6.8654,8.4709,6.0128,21.887,12.3184,15.6466,16.8757,8.1255,26.3014,21.0486,16.8612,27.0429,10.2428,20.1255,25.9147,8.0034,25.0239,8.0718,15.1498,18.1008,11.3828,27.6237,4.7838,27.8808,9.3533,10.8322,19.1855,24.4457,5.0469,21.569,12.285,10.1874,7.9798,18.0679,16.0378,27.5961,11.604,29.3334,5.7159,6.2669,23.1526,8.2207,18.4316,9.7333,17.2824,9.7079,25.1353,25.5669,15.1981,15.0931,14.5746,10.2755,21.1996,15.6347,17.9546,7.7475,9.6619,7.8657,9.789,5.8875,11.7395,7.3128,16.9352,5.107,23.4959,21.0134,9.8389,18.2808,26.9246,13.5262,6.1658,20.902,7.8297,11.2489
Node_7,36.0369,27.4618,47.7695,6.3191,5.257,55.876,19.3115,14.5141,30.915,28.9142,8.53,30.9849,37.7518,13.5017,36.0978,41.7489,33.4686,10.5178,46.4279,37.367,17.1457,15.813,46.2953,29.0696,17.6986,39.3962,38.5707,45.1675,30.8283,50.7687,11.4904,16.6074,4.3763,50.4273,12.6196,13.4411,9.8149,53.8059,27.3037,29.7595,48.0878,15.2162,14.6501,23.7312,50.3712,52.6375,20.3318,51.1771,52.0894,41.6144,32.3923,43.8567,39.3368,4.9183,24.7792,31.5506,17.5485,11.841,45.7657,19.3002,34.084,47.9045,29.9149,12.9547,52.5765,40.0357,5.621,31.6768,4.3846,8.206,22.2283,36.8682,26.0802,47.428,27.2766,15.6963,49.7217,6.9185,31.4097,5.2207,54.1298,46.4076,24.9554,31.227,50.2066,53.8165,51.3201,40.8768,5.362,31.9285,21.0781,28.9147,52.518,31.8869,53.5084,48.0391,33.0514,20.4482,54.4735,22.5568,14.4295,25.2951,28.7663,41.3236,20.5636,25.8542,18.072,27.1529,54.0889,44.3841,28.7589,33.1866,41.9837,34.7986,23.2706,17.2926,43.8301,25.1768,5.9147,10.3184,24.3437,27.585,34.2596,46.2997,15.6359,49.3574,5.9664,10.6498,6.0223,40.5128,22.3396,27.8408,32.5968,13.3522,49.5799,39.9547,29.7402,51.2478,13.0254,35.6955,51.7371,9.5342,45.6355,9.6363,27.1237,30.8111,20.3071,54.3394,4.3941,55.1628,11.9094,16.7603,34.8191,47.6149,4.6316,40.3016,22.6669,15.5525,9.2046,31.11,30.6107,53.9387,17.0867,54.9702,5.4407,5.4744,43.8564,11.9989,32.4224,17.0073,30.4829,14.5358,46.6824,50.0541,27.3387,27.45,25.5598,17.4545,41.3033,26.5403,32.6491,11.4247,14.1486,9.7437,12.9102,6.9606,18.7775,9.6673,28.2281,6.3479,45.4966,42.511,14.7682,36.6597,52.4297,23.6384,5.1277,36.0505,10.7707,16.4176
Node_8,16.1883,11.3709,19.5355,4.9884,4.5266,22.4925,9.1606,6.8662,13.3404,13.8356,5.1372,13.595,15.6734,6.6597,16.678,16.3652,15.7018,7.709,19.701,15.7758,8.6963,7.494,20.0093,12.508,8.1755,15.6267,14.9461,17.7262,14.4956,20.3989,7.707,7.7141,2.845,20.1181,6.8001,6.9353,6.5408,22.7628,12.5801,12.6217,19.6943,7.2524,6.7018,10.8658,20.5839,20.9855,10.8257,21.4273,21.3331,16.2169,13.3739,17.587,15.953,5.1124,10.9706,13,7.983,6.2564,18.027,9.6703,15.3621,18.5763,13.7867,8.1825,20.8678,16.58,5.1477,14.1653,4.3248,5.7292,11.3569,15.3699,12.8159,19.2505,12.6651,8.2354,19.2077,4.9638,14.7015,4.8381,20.2854,17.9531,11.7883,12.4802,20.77,19.9619,19.4384,17.3048,3.5297,13.5934,10.1101,13.1086,21.9847,14.4332,22.4919,20.2338,15.6693,9.6997,20.6635,11.3315,8.4866,10.8685,13.3642,17.7343,9.6557,12.1149,8.9591,13.1104,21.531,17.5951,11.5463,15.471,17.8146,15.2851,11.2207,8.0053,18.8218,10.4136,4.8816,5.025,10.7796,12.7813,15.402,19.0668,7.0145,19.942,5.9739,7.0033,5.1234,17.0599,9.6347,12.3871,13.0287,6.4926,20.4907,16.232,13.4129,20.9634,8.471,15.9075,19.8387,6.7369,19.5655,6.7461,11.9779,14.3837,8.8959,21.2846,4.111,21.5001,7.8157,8.7775,14.9209,18.7764,4.3065,16.7455,9.5585,8.3093,6.7201,14.3376,12.4056,21.3343,9.4158,22.8617,4.909,5.4795,17.9505,6.7789,14.5445,7.6348,13.6694,7.9209,19.6238,19.7235,11.8373,11.8636,11.3595,8.0813,16.3626,12.4399,14.1464,6.2619,7.926,6.6074,8.1472,4.8976,9.4848,6.0778,13.5106,4.2228,18.1024,16.0742,7.9007,14.0453,20.8149,10.6344,5.3507,16.5242,6.4396,9.1942
Node_9,19.7597,14.379,24.8424,4.989,4.4228,28.8091,10.9306,8.2115,16.56,16.4537,5.5985,16.7716,19.7931,7.8235,20.1185,21.2157,18.8248,7.8787,24.6458,19.7677,10.106,8.9564,24.8293,15.5716,9.861,20.1312,19.4706,22.9702,17.3533,26.1504,8.0938,9.2861,3.0237,25.8662,7.7245,8.0083,6.8895,28.5103,15.1847,15.8012,25.0141,8.6463,8.1208,13.1575,26.1738,26.9892,12.3346,26.9599,27.0976,21.0797,16.9255,22.561,20.3487,4.7477,13.4639,16.4831,9.692,7.1657,23.3186,11.2799,18.7146,24.1891,16.6475,8.765,26.8954,20.9638,4.9312,17.3208,4.0533,5.9318,13.1465,19.3828,15.0692,24.5555,15.2306,9.4488,25.0682,5.1025,17.636,4.6105,26.8359,23.4137,14.0951,16.0243,26.2695,26.5331,25.5967,21.6574,3.7362,16.978,11.9971,15.9348,27.6728,17.5563,28.246,25.3985,18.7033,11.569,27.1829,13.2038,9.3298,13.5299,16.0798,22.069,11.5765,14.5248,10.5035,15.5319,27.701,22.6732,14.8071,18.5908,22.2681,18.83,13.2974,9.6551,23.4236,13.1756,4.8241,5.9391,13.2357,15.3997,18.794,24.1464,8.5684,25.4799,5.5922,7.4139,5.0115,21.4168,11.9714,15.1716,16.7405,7.6708,25.9261,20.7169,16.3277,26.658,8.9984,19.4755,25.9805,6.9559,24.3707,6.9931,14.7175,17.2767,10.9851,27.5932,3.9198,27.9288,8.2645,10.0669,18.604,24.2829,4.1176,21.1512,11.9958,9.4518,6.8713,17.3115,15.8423,27.5293,10.6022,28.8488,4.7234,5.1254,22.8205,7.5476,17.7645,9.3309,16.6923,8.9464,24.6471,25.4996,14.6939,14.7174,13.9522,9.7534,21.1046,14.9156,17.525,7.0687,8.8581,6.9101,8.7287,5.0732,11.0283,6.521,16.0629,4.4542,23.3115,21.1817,9.005,18.3907,26.8164,12.9812,4.9641,20.0058,7.0361,10.2826
Node_10,15.4959,10.1679,17.2545,6.2579,5.7781,19.5488,9.1273,6.7422,12.423,13.8366,5.8555,12.6846,14.0773,6.7968,16.3049,13.8552,15.4878,9.476,17.9946,14.4524,9.0118,7.3613,18.5849,11.3893,8.0088,13.5523,12.5816,15.0023,14.4056,17.6878,9.2348,7.5596,3.3226,17.3915,7.2629,7.2389,7.765,20.7679,12.3467,11.4499,17.5455,7.1637,6.4779,10.5467,18.2651,18.1348,11.6542,19.378,18.9869,13.6522,12.0011,15.2637,14.1094,6.9631,10.4737,11.4985,7.7203,6.558,15.3341,10.0558,14.8362,15.672,13.4594,9.5879,17.9273,14.8353,6.8311,13.5385,5.9521,7.0396,11.946,13.7787,13.1277,16.9487,12.569,8.6769,16.0232,6.0936,14.5369,6.5288,16.5184,15.0138,11.6663,10.8875,18.6079,16.0957,15.9298,15.8915,4.1398,12.4739,10.2588,12.6718,19.7931,13.9386,20.4499,18.3293,15.5865,9.7081,17.0352,11.8046,9.5373,9.966,13.1575,16.4213,9.4901,12.0023,9.1734,13.2134,18.6614,15.2477,10.0032,15.2456,16.4357,14.4347,11.3264,7.7806,17.3675,9.2947,6.1735,5.0341,10.2281,12.5217,14.7489,17.1734,6.6935,17.5744,8.122,8.2265,6.6181,15.4497,8.8901,11.8599,11.2529,6.5658,18.3545,14.1204,13.0314,18.4939,9.9261,15.1996,16.423,8.249,17.9881,8.1661,11.4008,14.1668,8.261,18.0928,5.4525,18.251,9.3086,9.3389,13.5794,15.9233,5.659,14.9441,8.6336,8.9926,8.2945,14.0079,10.8417,18.3633,10.2184,20.5632,6.4676,7.4894,15.8461,7.5945,13.8999,7.2219,13.1146,8.6349,17.8096,16.8669,10.8602,11.058,10.5709,7.7901,14.0516,12.3,13.259,6.7431,8.7894,7.9899,9.5522,5.8991,9.9114,7.105,13.5388,4.9762,15.5296,13.166,8.3523,11.7082,17.9553,10.1108,7.296,16.0007,7.3136,10.1403
