,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80,Task_81,Task_82,Task_83,Task_84,Task_85,Task_86,Task_87,Task_88,Task_89,Task_90,Task_91,Task_92,Task_93,Task_94,Task_95,Task_96,Task_97,Task_98,Task_99,Task_100,Task_101,Task_102,Task_103,Task_104,Task_105,Task_106,Task_107,Task_108,Task_109,Task_110,Task_111,Task_112,Task_113,Task_114,Task_115,Task_116,Task_117,Task_118,Task_119,Task_120,Task_121,Task_122,Task_123,Task_124,Task_125,Task_126,Task_127,Task_128,Task_129,Task_130,Task_131,Task_132,Task_133,Task_134,Task_135,Task_136,Task_137,Task_138,Task_139,Task_140,Task_141,Task_142,Task_143,Task_144,Task_145,Task_146,Task_147,Task_148,Task_149,Task_150,Task_151,Task_152,Task_153,Task_154,Task_155,Task_156,Task_157,Task_158,Task_159,Task_160,Task_161,Task_162,Task_163,Task_164,Task_165,Task_166,Task_167,Task_168,Task_169,Task_170,Task_171,Task_172,Task_173,Task_174,Task_175,Task_176,Task_177,Task_178,Task_179,Task_180,Task_181,Task_182,Task_183,Task_184,Task_185,Task_186,Task_187,Task_188,Task_189,Task_190,Task_191,Task_192,Task_193,Task_194,Task_195,Task_196,Task_197,Task_198,Task_199,Task_200,Task_201,Task_202,Task_203,Task_204,Task_205,Task_206,Task_207,Task_208,Task_209,Task_210,Task_211,Task_212,Task_213,Task_214,Task_215,Task_216,Task_217,Task_218,Task_219,Task_220,Task_221,Task_222,Task_223,Task_224,Task_225,Task_226,Task_227,Task_228,Task_229,Task_230,Task_231,Task_232,Task_233,Task_234,Task_235,Task_236,Task_237,Task_238,Task_239,Task_240
Node_1,33.9255,26.6823,19.1907,22.1658,36.9425,11.2061,21.92,23.7396,26.94,19.374,32.3022,30.8399,18.5446,12.9201,22.9848,28.3777,30.407,27.5492,28.4676,31.3025,25.2141,31.1171,20.5979,26.0624,28.8556,21.1856,18.6753,10.335,31.3971,25.7867,33.7293,32.4427,23.5974,33.8838,35.5145,32.4423,24.395,37.9533,26.82,20.7746,26.901,15.1259,31.7398,23.2362,24.0741,27.2293,33.9276,23.288,28.297,14.4226,35.8623,21.0224,13.5938,41.1366,39.6816,19.4125,30.5336,14.5337,34.3094,25.5405,27.1063,30.4206,25.744,33.7818,22.6844,26.9288,19.5958,20.1466,37.6512,28.7679,28.1091,30.325,21.3732,28.9999,20.9055,23.577,29.2928,21.8929,24.8498,12.5998,32.2233,28.3737,26.4663,20.4183,35.117,22.0185,13.0084,27.5349,26.2931,21.782,23.2516,13.4489,30.7586,28.6717,28.9509,33.8057,30.1842,23.1321,23.9116,21.286,37.6872,35.765,28.825,24.3193,23.2698,30.123,39.4631,12.5614,25.8793,35.0784,35.7024,26.85,16.2855,24.5445,26.3434,34.505,22.189,32.967,23.0287,32.621,22.4128,25.4972,29.9436,24.6008,18.4013,24.9775,25.472,24.0836,24.9395,40.037,19.2678,38.9787,31.1249,27.3901,18.3161,18.0461,22.0249,36.4468,31.9991,39.8749,21.2802,21.3617,26.7664,16.6085,32.5231,19.8579,13.7499,29.9897,23.4303,28.7741,23.3519,36.7485,35.2558,32.5017,33.9929,17.1189,20.5618,22.1512,35.9824,31.9312,23.2985,14.375,14.0079,36.1887,21.1761,43.5295,31.0562,24.4202,29.363,21.7265,37.3689,27.7466,31.5706,27.4944,17.4646,27.5377,16.3751,33.7026,27.7098,18.9257,21.7916,30.2128,31.6875,33.5712,29.2172,28.4995,15.9088,33.7834,33.5659,10.776,16.3622,24.8555,24.9284,29.2097,16.9595,32.1723,24.1341,16.0578,32.8179,26.496,23.31,32.1598,16.8148,29.7093,31.3401,13.9844,18.2571,37.9559,23.7208,33.7738,12.8304,34.4627,21.6965,23.7725,13.9862,20.1569,33.9429,16.4719,25.2063,23.3231,27.7732,30.9452,29.4084,29.4802,23.1427,32.3602,27.4996,20.817,20.1646,28.9852,36.0422,24.0389,34.5194,28.2651,12.8704,26.8347,16.9249,31.7675,31.0749,33.7772
Node_2,37.7141,23.7649,16.1365,21.8408,42.8578,11.765,22.2287,24.4833,27.6658,20.1799,37.5106,36.3098,19.2125,10.3054,25.1099,33.0505,31.1092,32.0773,26.6167,34.4621,26.6623,35.1045,21.5672,28.9204,31.9195,21.4271,18.9941,8.7669,35.4828,25.1886,39.8094,38.7962,21.024,37.1493,40.7002,38.1852,24.7563,40.2745,26.0582,20.1612,25.8555,11.4969,33.4934,25.0275,22.4767,27.9337,35.8574,26.8391,30.6754,11.9609,39.0354,18.7715,13.0704,43.7554,42.8483,19.4182,34.6174,12.9268,38.1344,27.5567,28.3237,31.4644,24.5271,38.4262,23.961,27.055,19.7776,19.7439,43.1943,28.2607,29.0146,33.0408,19.166,31.5613,21.5439,23.68,33.6313,25.2021,26.2856,11.1955,35.9919,27.4484,25.5786,20.9272,37.9637,23.5665,11.6243,27.8194,28.427,22.1534,22.42,12.4444,33.4454,31.6686,30.3297,36.3444,30.7844,21.4234,25.8198,18.439,40.2648,39.5308,29.4069,21.8376,22.3535,32.1368,40.9956,11.4622,30.0269,40.3131,41.1329,30.9107,19.1854,22.2667,26.2066,38.2438,19.6429,35.3523,21.3621,35.7774,19.9619,23.455,32.0945,26.1126,17.8418,24.6515,25.7865,25.1953,27.8498,42.448,19.8983,43.0551,34.5566,27.7911,16.4861,15.2911,19.9441,38.6618,33.4608,43.7082,20.9494,17.6738,29.3055,16.2842,34.0606,19.2323,11.7486,30.4119,27.6179,30.7783,28.1628,39.5477,38.5282,33.7908,39.4769,17.5188,17.1614,21.1183,39.0553,34.6356,24.7751,14.4015,11.1107,39.7946,21.627,47.3465,33.6413,25.1054,32.2009,19.3944,41.0213,30.947,32.0175,30.6756,14.895,25.9436,15.3295,35.2931,30.3337,18.1845,21.6832,29.882,31.0707,35.0223,34.0367,32.9233,15.0017,38.0413,35.6878,9.8384,17.9193,23.9105,29.0648,32.142,16.1838,32.5733,21.985,12.0364,38.8127,27.0044,23.1678,33.183,14.7029,33.1065,32.7488,9.8818,14.021,40.1216,21.2449,35.6825,12.0652,38.0581,19.8269,27.9685,13.6566,16.9471,36.0657,13.1302,28.3487,23.9154,31.0464,28.9914,28.2928,34.8162,24.3741,31.778,31.5979,21.0798,21.4004,29.3729,37.5926,24.6674,39.3261,30.0135,9.0931,26.2857,17.3977,32.7321,30.1421,34.2959
Node_3,31.518,25.5506,18.504,20.9608,34.0706,10.5035,20.6385,22.2878,25.3115,18.1737,29.7834,28.372,17.3998,12.5365,21.4066,26.1605,28.595,25.3922,27.0943,29.1047,23.58,28.8215,19.2918,24.2195,26.8356,19.9711,17.5622,9.9537,29.0895,24.3998,31.0226,29.7711,22.6096,31.5432,32.8259,29.8483,22.9741,35.5027,25.3996,19.6785,25.5143,14.7555,29.7115,21.6856,22.9364,25.581,31.7727,21.5076,26.3885,13.9334,33.4213,20.1338,12.8832,38.4735,37.0303,18.3078,28.2706,13.9265,31.8714,23.8346,25.4089,28.5644,24.4583,31.2701,21.2232,25.398,18.4582,19.0528,34.7888,27.2169,26.4087,28.2537,20.4703,27.0282,19.6423,22.2356,27.0607,20.219,23.2355,12.062,29.9237,26.8945,25.0849,19.1864,32.7627,20.5685,12.4591,25.959,24.5222,20.5079,22.0477,12.8063,28.655,26.6406,27.1238,31.5673,28.4043,22.0585,22.3035,20.4537,35.2266,33.2596,27.1338,23.2749,22.0675,28.1608,37.0279,11.9886,23.8703,32.4074,32.9659,24.7976,14.9888,23.4606,24.8742,32.0626,21.2746,30.7917,21.9564,30.368,21.471,24.3293,27.9557,23.0125,17.4338,23.619,23.9818,22.5789,23.1477,37.4557,18.0931,36.2302,28.9339,25.7824,17.5117,17.3896,21.0504,34.0996,30.0031,37.1048,20.1155,20.6336,24.9256,15.7009,30.4823,18.8278,13.2329,28.2408,21.5674,26.8977,21.4091,34.3108,32.8384,30.5004,31.3425,16.0891,19.8544,21.0241,33.5544,29.775,21.7968,13.5598,13.5961,33.6758,19.9082,40.5671,28.9594,22.9399,27.3448,20.8012,34.7859,25.7552,29.7352,25.5314,16.8112,26.1969,15.5799,31.5866,25.7924,17.9349,20.5703,28.5532,29.9668,31.4792,26.9418,26.3048,15.1226,31.3201,31.3842,10.2848,15.2351,23.574,22.9743,27.1723,16.098,30.3063,23.0524,15.6865,30.1671,24.9415,21.992,30.2043,16.1429,27.5694,29.3939,13.741,17.7826,35.5197,22.7043,31.6166,12.2048,32.0437,20.7239,21.8855,13.2329,19.4416,31.7533,15.9793,23.3688,21.9396,25.7712,29.4469,27.8834,27.118,21.6681,30.6064,25.4051,19.598,18.8517,27.2905,33.8086,22.6037,31.9383,26.4378,12.6489,25.397,15.9094,29.855,29.4436,31.7995
Node_4,27.9659,9.8378,6.0349,14.0324,29.4307,8.5824,13.073,12.2929,14.6152,12.9746,25.0564,25.2177,9.8827,4.5325,16.9979,24.241,18.9731,22.144,12.3571,20.2128,12.6191,21.4463,10.1738,21.3303,25.2562,16.6813,7.7661,3.0384,25.9387,12.5278,29.0525,28.2495,12.1652,26.1131,29.1197,26.6759,16.486,26.1111,13.7519,10.8791,13.5945,5.4528,20.6697,16.1402,15.2164,13.184,27.2245,19.8968,21.3675,5.5084,26.9928,10.1227,4.5894,30.0831,30.417,9.9696,24.2934,7.0365,27.281,18.9795,16.7473,19.8766,15.9132,29.1994,12.7033,18.2493,10.4519,9.4676,29.4109,18.5045,19.9915,22.1408,13.1532,22.1904,14.0417,15.4143,22.5108,17.7231,11.8117,2.9083,29.1523,16.3113,13.9698,10.2649,26.449,14.992,6.7003,21.2954,17.8432,15.017,12.8759,2.9547,19.4966,17.5458,17.0381,25.5495,20.2012,13.5862,15.7347,7.6,28.4763,29.7947,21.6975,11.7749,10.6679,22.2927,25.1072,4.0605,21.4471,28.7793,28.3433,21.8946,15.3277,12.2574,15.9799,26.0985,10.6616,23.7011,13.8044,25.6654,10.4283,13.3597,18.0035,17.2072,9.9382,17.0244,13.4667,16.7245,19.3752,27.2092,11.7613,27.0666,28.5473,15.2804,5.7959,6.9883,9.2657,26.115,22.5327,26.5495,10.8948,5.8538,21.2952,6.5715,21.6144,13.4467,4.5181,18.9727,23.2268,23.5403,23.5415,27.9985,27.3527,22.6701,26.5299,8.4552,9.1069,9.0071,28.5309,24.1724,18.47,8.8031,3.8126,28.6733,10.4178,31.6842,22.0601,13.1766,25.4089,8.5345,30.1158,20.7987,21.4865,23.4887,5.592,15.5948,6.4747,22.0621,18.9611,5.6139,11.9206,18.7189,15.3395,21.331,27.0842,23.0888,6.6012,28.0624,21.8946,3.6936,12.7236,13.1969,20.7814,21.6323,7.7492,21.1114,11.1556,5.4789,26.6762,19.0612,8.9778,19.9491,7.089,19.3639,23.4204,4.1321,4.6939,24.4158,10.1756,23.7271,6.2536,26.3776,12.1282,22.5418,6.346,7.7412,25.4378,4.6266,19.8576,17.9673,21.0323,14.0747,13.5712,26.9932,14.536,18.1825,22.2504,10.8996,11.2648,16.5659,25.7236,16.8462,28.2966,19.5451,4.3394,16.9243,11.6274,22.8725,17.7957,20.8741
Node_5,30.8106,9.6582,5.6414,14.9535,32.6161,9.3441,13.9539,13.0434,15.5429,14.0157,27.7534,28.0335,10.5184,4.2609,18.6018,26.9282,20.3449,24.5612,12.5812,22.0285,13.44,23.5444,10.7987,23.4879,27.8571,18.0802,8.0615,2.8072,28.6529,13.0509,32.3463,31.5238,12.4821,28.6391,32.2315,29.6568,17.7341,28.3402,14.3771,11.3916,14.1586,5.0826,22.3501,17.5732,16.0551,13.9003,29.7309,22.0664,23.3723,5.3248,29.5418,10.3123,4.5625,32.7565,33.269,10.4952,26.8193,7.1664,30.0198,20.7304,18.0226,21.4152,16.8235,32.3284,13.6236,19.5994,11.0582,9.8406,32.5154,19.7292,21.6284,24.2066,13.7486,24.3008,15.1414,16.5181,24.8786,19.6245,12.5362,2.5819,32.2309,17.1993,14.6243,10.8515,28.9143,16.2894,6.8786,23.0568,19.4207,16.1783,13.5269,2.6488,21.1775,19.0893,18.2939,27.9091,21.738,14.2282,17.0977,7.3566,31.0738,32.8075,23.496,12.0188,11.0047,24.2988,27.0328,3.9326,23.7928,31.8696,31.3717,24.2485,17.0918,12.5835,17.0108,28.6558,10.8369,25.8242,14.4861,28.1708,10.5741,13.8256,19.4469,18.6917,10.4314,18.2336,14.2484,18.1143,21.3201,29.5099,12.6184,29.6056,31.5477,16.2385,5.5634,6.8132,9.3161,28.3964,24.42,28.9479,11.4235,5.2607,23.3769,6.7109,23.3628,14.3494,4.2866,20.3269,25.9277,25.7746,26.3683,30.5993,29.99,24.5325,29.3906,8.9229,9.0309,9.15,31.2727,26.4456,20.1796,9.3899,3.3592,31.4936,10.9851,34.6258,24.0665,14.0113,27.9799,8.4656,33.0886,22.8541,23.1199,25.9213,5.2743,16.3357,6.5192,23.8274,20.6928,5.4686,12.596,19.9328,15.9898,22.9841,30.1434,25.5811,6.7009,30.9862,23.7105,3.6134,13.9565,13.808,23.0757,23.7043,7.9774,22.6614,11.3649,5.0219,29.673,20.59,9.1798,21.4196,7.0629,21.1625,25.4513,3.5701,4.0066,26.3926,10.2268,25.7581,6.4571,28.9567,12.6121,25.1351,6.5675,7.5199,27.7232,4.1214,21.8867,19.4944,23.1277,14.4137,14.0144,30.0942,15.6819,19.1978,24.6297,11.5246,12.0919,17.6293,27.8844,18.1931,31.2904,21.2213,3.8954,18.0109,12.5476,24.7532,18.769,22.337
Node_6,24.9008,10.4334,6.8658,13.3176,25.6101,7.8526,12.2366,11.4253,13.608,11.9343,21.7659,21.7981,9.1515,5.2289,15.2411,21.1158,17.6482,19.2393,12.4168,18.0025,11.5257,18.8533,9.3616,19.0065,22.5662,15.5223,7.3429,3.4804,22.9103,12.1131,25.1467,24.3023,12.3739,23.3844,25.5328,23.0686,15.3728,23.7709,13.2997,10.5157,13.2497,6.4375,18.8794,14.5743,14.8427,12.3203,24.8252,17.4231,19.2411,6.0977,24.2547,10.3604,4.6214,27.351,27.4481,9.4615,21.3977,7.2136,24.2746,17.1302,15.391,18.3597,15.3882,25.7435,11.6049,17.1036,9.8471,9.152,25.7266,17.5776,18.4606,19.8773,13.1079,19.9446,12.9898,14.465,19.6699,15.4964,10.7883,3.3565,25.9502,15.7107,13.531,9.5889,23.8501,13.5838,6.8047,19.8336,16.0752,13.9803,12.4521,3.2876,17.4925,15.5765,15.6416,23.1044,18.7925,13.3774,14.1821,8.265,25.8325,26.6084,20.1301,12.0047,10.473,20.2371,23.1437,4.3047,18.6938,25.1985,24.7522,19.1486,13.3349,12.3822,15.1136,23.2316,10.9694,21.4566,13.56,22.9864,10.7314,13.328,16.2911,15.6623,9.5939,16.0954,12.6662,15.3416,17.1895,24.7833,10.8859,24.0957,25.4859,14.3265,6.2365,7.6123,9.5476,23.7774,20.6719,23.7225,10.4495,6.9503,19.0919,6.4213,19.8238,12.8341,5.0356,17.7293,20.2476,21.3461,20.3314,25.3074,24.5373,20.8627,23.0514,7.9107,9.7976,8.978,25.6873,21.7607,16.7942,8.2902,4.6881,25.6494,9.7622,28.4702,19.8612,12.2615,22.7882,8.9577,26.97,18.4481,20.0388,20.8939,6.2715,15.2574,6.5606,20.238,16.9629,5.7333,11.3208,17.7456,14.7969,19.6157,23.67,20.1513,6.6214,24.8344,19.9119,3.8823,11.4019,12.8136,18.0727,19.3224,7.6443,19.7251,11.331,6.6069,22.9956,17.7095,8.6887,18.4683,7.4713,17.1215,21.482,5.3659,6.0081,22.2802,10.5368,21.6503,6.1959,23.5306,12.0744,19.6295,6.1637,8.4867,23.1397,5.6221,17.5588,16.6225,18.6375,14.0624,13.303,23.4265,13.2946,17.3836,19.4734,10.2532,10.2584,15.5322,23.6272,15.6068,24.886,17.7869,5.4265,16.1148,10.7663,21.1359,17.1182,19.5049
Node_7,56.4967,16.1175,9.0576,26.8558,59.7002,17.0437,24.9358,22.9832,27.5226,25.3089,50.7127,51.4025,18.5936,6.9989,33.8602,49.5015,36.5108,44.9834,21.6187,39.6887,23.6054,42.652,18.9329,43.0492,51.263,33.03,13.8057,4.4288,52.5541,22.7965,59.4962,58.0252,21.914,52.2808,59.0969,54.3973,32.0368,51.2958,25.2718,20.0714,24.8396,8.3784,40.2734,31.8364,28.8095,24.3007,54.4018,40.5614,42.6026,8.9167,53.8384,17.9525,7.5132,59.5621,60.7023,18.4635,49.076,12.4834,54.9211,37.7431,32.3251,38.5893,30.1356,59.4593,24.2151,35.4103,19.5392,17.1188,59.4347,35.4804,39.2347,44.0211,24.5971,44.3369,27.3446,29.7553,45.4268,35.9545,21.8849,3.7645,59.4273,30.6029,25.7878,19.0545,52.6936,29.463,12.0757,42.0702,35.1217,29.2733,23.9754,3.8088,38.0898,34.2382,32.668,50.8712,39.2415,25.3525,30.8444,12.182,56.6354,60.1947,42.7944,20.941,19.0709,44.2221,48.6055,6.3931,43.6574,58.4367,57.4062,44.4463,31.5919,22.0159,30.4374,52.2501,18.8565,46.9026,25.8641,51.4969,18.323,24.3346,34.8083,33.875,18.4417,32.9511,25.1536,32.8052,38.9474,53.3614,22.6038,53.6492,58.2097,28.8305,8.9904,11.4489,15.9154,51.5555,44.2718,52.2818,20.0823,8.1023,42.764,11.388,42.1642,25.9125,6.9647,36.5181,48.0515,47.2255,48.9145,55.8064,54.7699,44.4407,53.7258,15.6352,15.5102,15.5775,57.1913,48.2132,36.8974,16.8177,5.1381,57.5987,19.2387,62.9541,43.6762,24.7969,51.4516,14.2925,60.5812,41.6483,41.7895,47.6357,8.5152,29.0091,11.0402,42.9495,37.452,8.7428,22.31,35.7316,27.9205,41.3237,55.6672,46.8714,11.4397,56.851,42.7347,5.9505,25.4926,24.362,42.3582,43.1557,13.816,40.8384,19.6876,8.1682,54.3907,37.3781,15.5178,38.4242,12.0557,38.1638,46.3423,5.5532,5.9756,47.5099,17.5175,46.6946,11.2728,52.8397,22.3547,46.4766,11.3711,12.6129,50.4972,6.3749,40.0215,35.565,42.1774,24.9339,24.3092,55.5442,28.1707,34.0892,45.1225,20.3238,21.4895,31.3749,50.6022,32.964,57.3677,38.426,6.2961,32.3334,22.7004,44.9436,33.3846,40.0474
Node_8,36.5582,12.1884,7.3641,18.1355,38.3363,11.1961,16.8034,15.6107,18.6368,16.792,32.585,32.8798,12.5776,5.6252,22.0949,31.6973,24.4564,28.8556,15.5271,26.0307,15.9539,27.7136,12.8543,27.8745,33.1277,21.8244,9.6627,3.6711,33.8918,15.8678,37.9877,36.942,15.5588,34.0228,38.0124,34.7925,21.3721,33.8267,17.5047,13.873,17.2931,6.8076,26.6859,20.9094,19.7072,16.6471,35.6004,26.0271,27.8183,6.8824,35.1295,12.8731,5.5927,39.1184,39.6409,12.6724,31.6703,8.9543,35.5906,24.6902,21.5516,25.6902,20.5621,38.2378,16.2169,23.6719,13.3215,11.9533,38.2826,23.9437,25.9822,28.7603,17.0328,28.908,18.1847,19.9482,29.2713,23.1146,14.8609,3.3599,38.2902,20.9547,17.8295,13.0061,34.4322,19.4018,8.5676,27.8347,23.0765,19.4906,16.4974,3.3627,25.0895,22.5036,21.8445,33.2751,26.1667,17.5147,20.3083,9.3993,37.0953,38.9794,28.3071,14.977,13.4534,29.0058,32.3853,4.9409,28.0007,37.5653,36.9223,28.5669,20.1366,15.6229,20.5829,33.9514,13.562,30.7773,17.82,33.4793,13.2244,17.0822,23.0939,22.3152,12.7052,22.1065,17.1487,21.6921,25.238,35.2224,15.1303,35.0261,37.5286,19.5408,7.0401,8.7326,11.6291,33.9195,29.2518,34.2714,13.8566,7.0157,27.7982,8.1523,27.9531,17.4666,5.5376,24.4889,30.5906,30.8022,31.0074,36.4806,35.6563,29.4194,34.5139,10.6971,11.5378,11.2287,37.2481,31.4739,24.131,11.3429,4.5814,37.4144,13.1769,41.152,28.6129,16.794,33.3179,10.6458,39.337,27.0355,27.868,30.7611,6.8322,20.0363,8.057,28.5032,24.5227,6.7169,15.2354,24.1528,19.4188,27.5068,35.5677,30.1098,8.2527,36.6826,28.2611,4.5285,16.587,16.855,27.1356,28.1134,9.7734,27.3186,14.1213,6.8054,34.7633,24.8025,11.0925,25.6941,8.9174,24.9399,30.5149,5.0657,5.6076,31.4932,12.8038,30.7849,7.9395,34.3439,15.589,29.6264,7.9874,9.6696,33.128,5.5828,25.8806,23.4672,27.3536,17.7623,17.1237,35.4094,18.7213,23.3022,29.0203,13.8682,14.3741,21.2258,33.4255,21.8794,36.9455,25.3281,5.4023,21.8729,15.0815,29.7508,22.8523,26.8978
Node_9,43.4433,13.7651,8.147,21.2582,45.6252,13.2448,19.6887,18.2123,21.777,19.7827,38.7627,39.1803,14.6958,6.2612,26.1694,37.779,28.717,34.3544,17.8148,30.737,18.6225,32.8287,14.9842,33.1164,39.4044,25.7897,11.1409,4.0349,40.3094,18.3829,45.3125,44.1016,17.9634,40.3435,45.2355,41.463,25.1487,39.925,20.3241,16.1219,20.049,7.5665,31.4364,24.7064,23.0295,19.3567,42.1764,31.0048,32.9511,7.746,41.6171,14.809,6.3209,46.2528,46.9624,14.7455,37.6452,10.3013,42.2615,29.2272,25.3307,30.2307,24.035,45.5314,19.01,27.842,15.5362,13.8282,45.5167,28.0775,30.6483,34.0484,19.8392,34.2596,21.4124,23.4346,34.7927,27.5065,17.3091,3.5966,45.5932,24.4454,20.7213,15.1473,40.777,22.9042,9.8932,32.8745,27.2559,22.9517,19.2111,3.5965,29.5867,26.5373,25.6373,39.3985,30.7897,20.3968,23.964,10.5588,43.9073,46.3175,33.4237,17.2415,15.5184,34.3117,38.0867,5.5304,33.3489,44.7104,43.9233,33.9996,24.0505,18.0285,24.1035,40.2649,15.5902,36.3904,20.7722,39.7182,15.1797,19.7801,27.1641,26.3506,14.7843,25.9807,19.9966,25.5891,29.9608,41.5558,17.7632,41.4466,44.6856,22.8394,7.8521,9.8574,13.2807,40.0783,34.5196,40.4906,16.1025,7.6209,32.9837,9.3388,32.9345,20.5027,6.1645,28.7533,36.5647,36.5293,37.1077,43.2046,42.2798,34.6971,41.0623,12.447,13.1399,12.8519,44.1739,37.2847,28.5887,13.2933,4.9467,44.3994,15.3272,48.7102,33.8396,19.621,39.606,12.0845,46.6942,32.0672,32.7985,36.5868,7.5843,23.3205,9.1893,33.5671,28.9916,7.5041,17.7695,28.296,22.4993,32.3563,42.4494,35.838,9.4488,43.6254,33.3086,5.0958,19.6714,19.5878,32.3301,33.3119,11.2655,32.1116,16.2298,7.5123,41.4303,29.2469,12.7019,30.1799,10.1566,29.4791,36.0671,5.465,5.9805,37.0894,14.628,36.347,9.1735,40.7333,18.0996,35.3865,9.2205,10.9006,39.1922,6.0575,30.7442,27.7331,32.4559,20.4392,19.7617,42.2791,22.0267,27.1843,34.5308,16.1651,16.854,24.83,39.4544,25.7896,43.9524,29.8997,5.926,25.627,17.7681,35.1028,26.6593,31.5587
Node_10,16.4968,7.9516,5.4571,9.3039,16.6899,5.318,8.4886,7.9329,9.4414,8.1474,14.1777,14.1201,6.3308,4.1609,10.1836,13.7426,12.1711,12.5194,9.1188,12.0261,7.9207,12.4432,6.47,12.6014,14.9633,10.6284,5.2088,2.7845,15.0853,8.6507,16.2808,15.6528,9.0874,15.5897,16.7224,14.9457,10.5908,16.0962,9.4783,7.4853,9.4936,5.1698,12.838,9.8083,10.5542,8.6105,16.749,11.3856,12.8878,4.741,16.2223,7.6556,3.4413,18.4662,18.4047,6.6623,14.0758,5.3343,16.0911,11.499,10.5308,12.5809,10.8903,16.905,7.9377,11.8226,6.8902,6.5444,16.844,12.2806,12.6122,13.299,9.4527,13.3353,8.9022,10.0192,12.8747,10.1313,7.4319,2.733,17.1436,11.1188,9.6411,6.6888,15.9925,9.1704,4.9932,13.5959,10.8091,9.6145,8.8474,2.6442,11.756,10.402,10.714,15.5227,12.93,9.5914,9.5498,6.3897,17.3952,17.6619,13.7734,8.8492,7.5683,13.6431,15.8516,3.3022,12.1833,16.4852,16.1773,12.5186,8.6464,9.0683,10.5504,15.4284,8.1304,14.4501,9.7014,15.3161,7.9649,9.6718,11.0377,10.5983,6.8155,11.1889,8.8563,10.4409,11.3778,16.7947,7.4881,16.049,16.8678,9.9747,4.8256,5.868,7.1217,16.0804,14.0632,15.8668,7.4087,5.6688,12.7264,4.6597,13.5097,8.9796,3.9556,12.2592,13.1316,14.3359,13.0833,16.9928,16.3759,14.2283,15.0148,5.5281,7.463,6.5826,17.1778,14.5714,11.3115,5.7689,3.8802,17.0716,6.8302,19.0623,13.3278,8.5057,15.1576,6.7696,17.9562,12.2227,13.8035,13.8178,4.9474,10.9104,4.8621,13.8009,11.3447,4.3352,7.9546,12.3976,10.5536,13.4136,15.4087,13.1558,4.8678,16.3737,13.4982,2.9557,7.6031,9.1418,11.7557,12.8737,5.5409,13.6208,8.3504,5.3672,14.8664,12.1459,6.2777,12.6983,5.641,11.3724,14.5849,4.5182,5.0652,15.1474,7.8742,14.6739,4.4905,15.646,8.7306,12.7348,4.4274,6.5654,15.6166,4.6237,11.5881,11.3434,12.3353,10.2721,9.6019,15.1723,9.0606,12.2549,12.7409,7.1727,7.002,10.8042,16.08,10.6915,16.3366,12.039,4.4774,11.2837,7.3776,14.4413,12.1066,13.4976
