,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80
Node_1,23.5968,13.8534,17.82,11.0925,18.7297,14.8266,19.6897,25.7661,18.46,22.5134,18.0702,25.7185,20.9254,17.9043,25.6907,13.6429,26.6672,18.0216,16.385,23.7888,22.9485,21.6211,11.7515,30.3561,16.5104,25.3902,19.2092,16.565,23.3796,30.4442,18.9752,23.1155,18.6112,23.2081,20.5336,16.5444,29.987,14.9114,13.749,24.0733,15.7959,19.3745,23.9444,21.3965,20.1756,27.4886,29.6794,25.8454,27.2379,13.5505,23.9807,22.1747,16.2955,13.5729,14.8624,13.9231,16.371,25.247,21.0399,27.9874,13.1657,27.3684,21.8137,24.3807,25.8053,28.6307,25.2265,21.8371,16.7018,25.448,19.2494,16.745,22.7552,26.2015,28.4076,16.0125,24.5671,22.945,16.3985,29.2693
Node_2,31.5813,15.0871,20.9274,14.4705,25.243,17.7224,24.9933,32.7726,24.2994,29.9009,22.0448,34.0067,27.7849,19.2102,29.9108,14.0718,35.1762,22.9251,20.4329,30.3859,28.0301,27.4596,11.6904,38.0731,17.2651,34.3034,25.0451,21.2987,27.031,38.0926,22.7274,29.9446,22.7949,30.3392,24.1641,19.2468,37.5237,17.0445,19.145,30.8589,16.871,24.1631,29.6641,28.0664,24.4748,33.3375,37.2637,30.3603,32.784,16.9957,29.459,28.5738,21.4725,14.2791,16.5387,18.1644,20.7811,32.0707,25.7756,34.0494,16.5024,35.909,27.4329,29.0742,29.7559,38.7165,33.0862,25.7288,20.7063,29.4246,21.2474,20.8906,28.6987,31.6899,36.722,18.5883,31.7597,28.3381,19.7648,35.678
Node_3,35.4367,16.765,25.1737,12.6432,27.108,15.4983,25.7214,37.0489,26.0348,30.9574,23.1696,35.1042,30.6127,20.5568,33.9897,13.1023,39.9629,24.1991,18.6027,35.001,32.0193,29.0805,11.0915,41.0911,19.5602,35.7145,24.1517,19.9502,29.7925,43.478,24.1253,32.392,21.5567,35.3295,27.9638,20.0321,42.2931,15.6434,17.8066,36.7688,17.779,29.1386,32.1076,30.8323,23.7695,37.6841,39.1063,38.0346,37.0583,15.7759,32.2482,31.0596,21.8071,13.6517,16.06,18.6476,24.7512,36.5886,24.098,37.5561,14.0743,38.8732,27.7388,33.6104,34.3052,41.208,37.5836,28.3726,18.9906,34.5731,22.5189,22.0317,28.899,38.1747,40.4195,17.014,33.4602,31.3606,18.6075,41.3851
Node_4,34.3157,14.5457,26.0702,5.9598,24.2466,6.6581,20.3907,35.6482,22.9453,25.4597,18.8916,28.6152,28.5917,16.264,31.8184,6.3949,39.329,20.3455,10.0269,34.846,30.8793,24.6048,5.6372,35.9683,17.2895,29.9797,16.3773,12.228,26.1935,42.274,19.9248,28.9013,13.1533,36.1119,27.1749,15.5484,40.2117,8.021,11.277,38.7056,13.5101,30.9511,28.1105,28.4979,15.6867,35.5557,32.2493,41.8736,34.8523,9.1916,28.7757,27.9165,17.079,7.5903,9.9231,14.9077,25.9521,35.758,14.1337,33.8688,5.5945,34.9285,20.9514,32.7795,32.8327,36.2544,36.9004,25.2001,10.4791,34.2433,17.7084,18.3105,21.6338,40.0518,37.2716,8.7597,28.2318,28.6559,11.0384,40.9554
Node_5,23.9628,10.838,18.4399,4.9019,17.1251,5.8661,14.9275,25.1642,16.3288,18.3052,13.8867,20.6291,20.1125,12.4379,22.9813,5.7545,27.4687,14.7162,8.0892,24.4378,21.9626,17.7823,5.0739,25.9014,12.948,21.3916,12.2974,9.4385,19.1932,29.8826,14.6724,20.5939,10.332,25.1133,19.4426,11.6941,28.5362,6.798,8.4196,26.8851,10.4524,21.5686,20.2976,20.1305,12.1179,25.427,23.4869,29.2976,24.9777,7.2469,20.7408,19.8889,12.4158,6.4736,8.0259,10.8217,18.068,25.1813,11.2171,24.4134,4.9448,24.7907,15.5291,23.3756,23.6564,25.6581,25.8096,18.3483,8.4183,24.4946,13.4622,13.335,16.053,28.1167,26.4176,7.3681,20.3308,20.5382,8.7841,29.0055
Node_6,20.193,9.6833,15.8187,4.5538,14.5274,5.7165,13.025,21.4419,13.9478,15.7244,12.1918,17.7579,17.0398,11.3169,20.0136,5.7692,23.1768,12.7405,7.487,20.7257,18.8645,15.3889,5.1053,22.3869,11.6386,18.2586,10.8666,8.4893,16.8866,25.5167,12.9162,17.6301,9.4416,21.1434,16.8101,10.4607,24.431,6.5321,7.3534,22.6481,9.5847,18.2427,17.5921,17.1188,10.9771,21.9322,20.4466,24.9392,21.5877,6.6175,17.9671,17.0324,10.7469,6.2964,7.5349,9.368,15.2545,21.4242,10.3107,21.1653,4.7909,21.146,13.6673,20.1474,20.5805,21.787,21.8072,16.0526,7.7793,21.1991,12.1763,11.6152,14.1343,23.9495,22.5419,7.0385,17.5265,17.7179,8.102,24.8451
Node_7,23.9445,9.6674,17.9832,3.7152,16.8092,3.881,13.7914,24.6743,15.8213,17.4505,12.7231,19.5773,19.8591,10.6005,21.6474,3.6055,27.4273,13.8692,6.3225,24.2183,21.248,16.7806,3.1692,24.5761,11.4351,20.6587,10.9064,7.9835,17.6456,29.2213,13.3938,19.901,8.4542,25.2415,18.6089,10.2889,27.7284,4.8246,7.5669,27.0591,8.7271,21.5807,19.1657,19.7362,10.2022,24.3759,21.8763,29.0834,23.8553,5.9002,19.6363,19.2213,11.622,4.5147,6.2003,10.1494,18.1135,24.7858,9.0143,23.1035,3.2676,24.1201,14.0498,22.5024,22.3673,25.1065,25.7072,17.0594,6.6267,23.4412,11.6049,12.4181,14.4983,27.779,25.7467,5.31,19.3108,19.6288,7.0186,28.2555
Node_8,35.7866,15.8561,27.9538,5.9286,25.1272,6.9321,21.3067,37.5527,23.8873,26.3358,19.9789,29.6175,29.8053,17.8282,34.1364,7.2504,41.1693,21.3068,10.3245,36.7269,32.8068,25.7854,6.4964,37.8657,19.0337,30.9185,16.8153,12.5307,28.1295,44.7006,21.1832,30.2202,13.7413,37.9368,29.1013,16.6466,42.486,8.6062,11.2375,40.8582,14.8425,32.8424,29.6816,29.7687,16.5008,37.8109,33.8589,44.931,37.1213,9.4848,30.4645,29.2367,17.6487,8.4677,10.7789,15.4672,27.4393,37.7018,14.7376,35.9491,5.6131,36.4288,21.9008,35.0085,35.3064,37.5015,38.6661,26.9423,10.8349,36.8123,19.2535,19.2626,22.5851,42.7207,39.0542,9.3258,29.4501,30.323,11.5953,43.5594
Node_9,59.152,23.188,44.797,7.2288,40.9186,6.915,32.6136,60.7977,38.368,41.7098,30.2334,46.6903,48.7251,24.8273,52.9137,6.7614,67.9234,33.2531,13.0897,60.0473,52.3155,40.2874,6.0567,59.4084,27.4964,49.6366,24.7559,17.5,42.5594,72.1058,31.8965,48.3553,18.4061,62.903,45.832,24.088,68.1388,9.5815,16.8983,67.7295,20.2041,54.0628,46.3098,48.3094,22.8232,59.755,52.1919,73.1812,58.428,12.6487,47.622,46.7644,27.4532,9.2265,13.418,24.0816,45.2993,61.2434,19.3212,56.1339,5.5477,58.7154,32.8036,55.4805,54.894,60.9215,63.6277,41.267,13.857,57.9082,27.1806,29.6712,33.7763,69.4009,62.9642,10.6034,46.3673,47.8443,15.0836,69.8946
Node_10,36.9625,15.0208,27.894,5.6454,25.9086,5.9306,21.2645,38.1473,24.4004,26.8719,19.6596,30.1475,30.6467,16.4763,33.5608,5.6141,42.3678,21.4021,9.6829,37.4535,32.8953,25.899,4.9548,37.9673,17.8002,31.8028,16.7447,12.239,27.35,45.2072,20.7159,30.7161,13.0003,39.022,28.8479,15.9245,42.886,7.4361,11.5558,41.8707,13.5658,33.4226,29.6229,30.4645,15.72,37.7383,33.7667,45.1316,36.941,9.0493,30.3673,29.676,17.8864,7.0176,9.6004,15.6327,28.0348,38.3288,13.8503,35.7469,4.9527,37.215,21.655,34.8692,34.6948,38.6817,39.7164,26.4236,10.1592,36.3663,18.0106,19.1748,22.3399,43.055,39.7609,8.1732,29.7816,30.3583,10.7988,43.7585
