,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80,Task_81,Task_82,Task_83,Task_84,Task_85,Task_86,Task_87,Task_88,Task_89,Task_90,Task_91,Task_92,Task_93,Task_94,Task_95,Task_96,Task_97,Task_98,Task_99,Task_100,Task_101,Task_102,Task_103,Task_104,Task_105,Task_106,Task_107,Task_108,Task_109,Task_110,Task_111,Task_112,Task_113,Task_114,Task_115,Task_116,Task_117,Task_118,Task_119,Task_120
Node_1,9.3861,5.3272,18.0112,9.6398,1.2684,16.2354,25.3678,24.8605,15.7281,14.206,6.8493,21.5627,4.5662,17.5038,23.3384,2.2831,16.2354,0.761,7.864,20.8016,8.8787,20.0406,8.8787,9.1324,8.3714,19.7869,19.2796,24.0994,17.5038,7.3567,1.0147,16.7428,3.5515,9.8935,20.0406,13.9523,5.3272,24.8605,14.967,1.5221,23.0847,8.6251,10.9082,17.7575,16.7428,9.8935,19.0259,20.8016,0.2537,12.9376,23.5921,10.9082,8.6251,23.0847,14.967,19.7869,10.9082,20.8016,22.5774,11.9229,21.309,19.2796,20.5479,22.07,25.3678,2.5368,23.5921,24.8605,22.07,18.0112,1.2684,18.5185,11.1618,10.4008,8.1177,1.0147,20.0406,22.07,1.7757,11.4155,14.967,21.8163,14.967,3.0441,3.2978,5.0736,8.6251,22.8311,25.3678,13.1913,20.5479,10.9082,22.5774,19.5332,13.9523,16.4891,16.9964,17.2501,11.4155,20.2943,13.6986,8.1177,23.0847,11.1618,19.2796,0.761,25.3678,3.2978,24.6068,6.0883,0.2537,7.103,13.445,14.7133,3.8052,12.6839,2.5368,1.5221,14.7133,5.3272
Node_2,7.7601,4.4044,14.8909,7.9698,1.0487,13.4228,20.9732,20.5537,13.0034,11.745,5.6628,17.8272,3.7752,14.4715,19.2953,1.8876,13.4228,0.6292,6.5017,17.198,7.3406,16.5688,7.3406,7.5503,6.9211,16.3591,15.9396,19.9245,14.4715,6.0822,0.8389,13.8423,2.9362,8.1795,16.5688,11.5352,4.4044,20.5537,12.3742,1.2584,19.0856,7.1309,9.0185,14.6812,13.8423,8.1795,15.7299,17.198,0.2097,10.6963,19.505,9.0185,7.1309,19.0856,12.3742,16.3591,9.0185,17.198,18.6661,9.8574,17.6174,15.9396,16.9883,18.2466,20.9732,2.0973,19.505,20.5537,18.2466,14.8909,1.0487,15.3104,9.2282,8.599,6.7114,0.8389,16.5688,18.2466,1.4681,9.4379,12.3742,18.0369,12.3742,2.5168,2.7265,4.1946,7.1309,18.8758,20.9732,10.906,16.9883,9.0185,18.6661,16.1493,11.5352,13.6326,14.052,14.2617,9.4379,16.7785,11.3255,6.7114,19.0856,9.2282,15.9396,0.6292,20.9732,2.7265,20.344,5.0336,0.2097,5.8725,11.1158,12.1644,3.146,10.4866,2.0973,1.2584,12.1644,4.4044
Node_3,10.4314,5.9205,20.0169,10.7133,1.4096,18.0434,28.1928,27.629,17.4796,15.788,7.6121,23.9639,5.0747,19.4531,25.9374,2.5374,18.0434,0.8458,8.7398,23.1181,9.8675,22.2723,9.8675,10.1494,9.3036,21.9904,21.4266,26.7832,19.4531,8.1759,1.1277,18.6073,3.947,10.9952,22.2723,15.5061,5.9205,27.629,16.6338,1.6916,25.6555,9.5856,12.1229,19.735,18.6073,10.9952,21.1446,23.1181,0.2819,14.3783,26.2193,12.1229,9.5856,25.6555,16.6338,21.9904,12.1229,23.1181,25.0916,13.2506,23.682,21.4266,22.8362,24.5278,28.1928,2.8193,26.2193,27.629,24.5278,20.0169,1.4096,20.5808,12.4048,11.5591,9.0217,1.1277,22.2723,24.5278,1.9735,12.6868,16.6338,24.2458,16.6338,3.3831,3.6651,5.6386,9.5856,25.3736,28.1928,14.6603,22.8362,12.1229,25.0916,21.7085,15.5061,18.3253,18.8892,19.1711,12.6868,22.5543,15.2241,9.0217,25.6555,12.4048,21.4266,0.8458,28.1928,3.6651,27.3471,6.7663,0.2819,7.894,14.9422,16.3518,4.2289,14.0964,2.8193,1.6916,16.3518,5.9205
Node_4,26.3345,14.9466,50.5338,27.0463,3.5587,45.5516,71.1744,69.7509,44.1281,39.8577,19.2171,60.4982,12.8114,49.1103,65.4804,6.4057,45.5516,2.1352,22.0641,58.363,24.911,56.2278,24.911,25.6228,23.4875,55.516,54.0925,67.6157,49.1103,20.6406,2.847,46.9751,9.9644,27.758,56.2278,39.1459,14.9466,69.7509,41.9929,4.2705,64.7687,24.1993,30.605,49.8221,46.9751,27.758,53.3808,58.363,0.7117,36.2989,66.1922,30.605,24.1993,64.7687,41.9929,55.516,30.605,58.363,63.3452,33.452,59.7865,54.0925,57.6512,61.9217,71.1744,7.1174,66.1922,69.7509,61.9217,50.5338,3.5587,51.9573,31.3167,29.1815,22.7758,2.847,56.2278,61.9217,4.9822,32.0285,41.9929,61.21,41.9929,8.5409,9.2527,14.2349,24.1993,64.0569,71.1744,37.0107,57.6512,30.605,63.3452,54.8043,39.1459,46.2633,47.6868,48.3986,32.0285,56.9395,38.4342,22.7758,64.7687,31.3167,54.0925,2.1352,71.1744,9.2527,69.0391,17.0819,0.7117,19.9288,37.7224,41.2811,10.6762,35.5872,7.1174,4.2705,41.2811,14.9466
Node_5,36.0624,20.4678,69.2008,37.037,4.8733,62.3782,97.4659,95.5166,60.4288,54.5809,26.3158,82.846,17.5439,67.2515,89.6686,8.7719,62.3782,2.924,30.2144,79.922,34.1131,76.9981,34.1131,35.0877,32.1637,76.0234,74.0741,92.5926,67.2515,28.2651,3.8986,64.3275,13.6452,38.0117,76.9981,53.6062,20.4678,95.5166,57.5049,5.848,88.694,33.1384,41.9103,68.2261,64.3275,38.0117,73.0994,79.922,0.9747,49.7076,90.6433,41.9103,33.1384,88.694,57.5049,76.0234,41.9103,79.922,86.7446,45.809,81.8713,74.0741,78.9474,84.7953,97.4659,9.7466,90.6433,95.5166,84.7953,69.2008,4.8733,71.1501,42.885,39.961,31.1891,3.8986,76.9981,84.7953,6.8226,43.8596,57.5049,83.8207,57.5049,11.6959,12.6706,19.4932,33.1384,87.7193,97.4659,50.6823,78.9474,41.9103,86.7446,75.0487,53.6062,63.3528,65.3021,66.2768,43.8596,77.9727,52.6316,31.1891,88.694,42.885,74.0741,2.924,97.4659,12.6706,94.5419,23.3918,0.9747,27.2904,51.6569,56.5302,14.6199,48.7329,9.7466,5.848,56.5302,20.4678
Node_6,61.7696,35.0584,118.5309,63.4391,8.3472,106.8447,166.9449,163.606,103.5058,93.4891,45.0751,141.9032,30.0501,115.192,153.5893,15.025,106.8447,5.0083,51.7529,136.8948,58.4307,131.8865,58.4307,60.1002,55.0918,130.217,126.8781,158.5977,115.192,48.414,6.6778,110.1836,23.3723,65.1085,131.8865,91.8197,35.0584,163.606,98.4975,10.0167,151.9199,56.7613,71.7863,116.8614,110.1836,65.1085,125.2087,136.8948,1.6694,85.1419,155.2588,71.7863,56.7613,151.9199,98.4975,130.217,71.7863,136.8948,148.581,78.4641,140.2337,126.8781,135.2254,145.2421,166.9449,16.6945,155.2588,163.606,145.2421,118.5309,8.3472,121.8698,73.4558,68.4474,53.4224,6.6778,131.8865,145.2421,11.6861,75.1252,98.4975,143.5726,98.4975,20.0334,21.7028,33.389,56.7613,150.2504,166.9449,86.8114,135.2254,71.7863,148.581,128.5476,91.8197,108.5142,111.8531,113.5225,75.1252,133.5559,90.1503,53.4224,151.9199,73.4558,126.8781,5.0083,166.9449,21.7028,161.9366,40.0668,1.6694,46.7446,88.4808,96.828,25.0417,83.4725,16.6945,10.0167,96.828,35.0584
Node_7,26.3909,14.9786,50.6419,27.1041,3.5663,45.6491,71.3267,69.9001,44.2225,39.9429,19.2582,60.6277,12.8388,49.2154,65.6205,6.4194,45.6491,2.1398,22.1113,58.4879,24.9643,56.3481,24.9643,25.6776,23.5378,55.6348,54.2083,67.7603,49.2154,20.6847,2.8531,47.0756,9.9857,27.8174,56.3481,39.2297,14.9786,69.9001,42.0827,4.2796,64.9073,24.2511,30.6705,49.9287,47.0756,27.8174,53.495,58.4879,0.7133,36.3766,66.3338,30.6705,24.2511,64.9073,42.0827,55.6348,30.6705,58.4879,63.4807,33.5235,59.9144,54.2083,57.7746,62.0542,71.3267,7.1327,66.3338,69.9001,62.0542,50.6419,3.5663,52.0685,31.3837,29.2439,22.8245,2.8531,56.3481,62.0542,4.9929,32.097,42.0827,61.3409,42.0827,8.5592,9.2725,14.2653,24.2511,64.194,71.3267,37.0899,57.7746,30.6705,63.4807,54.9215,39.2297,46.3623,47.7889,48.5021,32.097,57.0613,38.5164,22.8245,64.9073,31.3837,54.2083,2.1398,71.3267,9.2725,69.1869,17.1184,0.7133,19.9715,37.8031,41.3695,10.699,35.6633,7.1327,4.2796,41.3695,14.9786
Node_8,41.02,23.2816,78.714,42.1286,5.5432,70.9534,110.8647,108.6475,68.7361,62.0843,29.9335,94.235,19.9557,76.4967,101.9956,9.9778,70.9534,3.3259,34.3681,90.9091,38.8027,87.5831,38.8027,39.9113,36.5854,86.4745,84.2572,105.3215,76.4967,32.1508,4.4346,73.1707,15.5211,43.2373,87.5831,60.9756,23.2816,108.6475,65.4102,6.6519,100.8869,37.694,47.6718,77.6053,73.1707,43.2373,83.1486,90.9091,1.1086,56.541,103.1042,47.6718,37.694,100.8869,65.4102,86.4745,47.6718,90.9091,98.6696,52.1064,93.1264,84.2572,89.8004,96.4523,110.8647,11.0865,103.1042,108.6475,96.4523,78.714,5.5432,80.9313,48.7805,45.4545,35.4767,4.4346,87.5831,96.4523,7.7605,49.8891,65.4102,95.3437,65.4102,13.3038,14.4124,22.1729,37.694,99.7783,110.8647,57.6497,89.8004,47.6718,98.6696,85.3659,60.9756,72.0621,74.2794,75.388,49.8891,88.6918,59.867,35.4767,100.8869,48.7805,84.2572,3.3259,110.8647,14.4124,107.5388,26.6075,1.1086,31.0421,58.7583,64.3016,16.6297,55.4324,11.0865,6.6519,64.3016,23.2816
Node_9,46.1347,26.1845,88.5287,47.3815,6.2344,79.8005,124.6883,122.1945,77.3067,69.8254,33.6658,105.985,22.4439,86.0349,114.7132,11.2219,79.8005,3.7406,38.6534,102.2444,43.6409,98.5037,43.6409,44.8878,41.1471,97.2569,94.7631,118.4539,86.0349,36.1596,4.9875,82.2943,17.4564,48.6284,98.5037,68.5786,26.1845,122.1945,73.5661,7.4813,113.4663,42.394,53.616,87.2818,82.2943,48.6284,93.5162,102.2444,1.2469,63.591,115.9601,53.616,42.394,113.4663,73.5661,97.2569,53.616,102.2444,110.9726,58.6035,104.7382,94.7631,100.9975,108.4788,124.6883,12.4688,115.9601,122.1945,108.4788,88.5287,6.2344,91.0224,54.8628,51.1222,39.9002,4.9875,98.5037,108.4788,8.7282,56.1097,73.5661,107.2319,73.5661,14.9626,16.2095,24.9377,42.394,112.2195,124.6883,64.8379,100.9975,53.616,110.9726,96.01,68.5786,81.0474,83.5411,84.788,56.1097,99.7506,67.3317,39.9002,113.4663,54.8628,94.7631,3.7406,124.6883,16.2095,120.9476,29.9252,1.2469,34.9127,66.0848,72.3192,18.7032,62.3441,12.4688,7.4813,72.3192,26.1845
Node_10,30.782,17.4709,59.0682,31.614,4.1597,53.2446,83.1947,81.5308,51.5807,46.589,22.4626,70.7155,14.975,57.4043,76.5391,7.4875,53.2446,2.4958,25.7903,68.2196,29.1181,65.7238,29.1181,29.9501,27.4542,64.8918,63.228,79.0349,57.4043,24.1265,3.3278,54.9085,11.6473,32.4459,65.7238,45.7571,17.4709,81.5308,49.0849,4.9917,75.7072,28.2862,35.7737,58.2363,54.9085,32.4459,62.396,68.2196,0.8319,42.4293,77.371,35.7737,28.2862,75.7072,49.0849,64.8918,35.7737,68.2196,74.0433,39.1015,69.8835,63.228,67.3877,72.3794,83.1947,8.3195,77.371,81.5308,72.3794,59.0682,4.1597,60.7321,36.6057,34.1098,26.6223,3.3278,65.7238,72.3794,5.8236,37.4376,49.0849,71.5474,49.0849,9.9834,10.8153,16.6389,28.2862,74.8752,83.1947,43.2612,67.3877,35.7737,74.0433,64.0599,45.7571,54.0765,55.7404,56.5724,37.4376,66.5557,44.9251,26.6223,75.7072,36.6057,63.228,2.4958,83.1947,10.8153,80.6988,19.9667,0.8319,23.2945,44.0932,48.2529,12.4792,41.5973,8.3195,4.9917,48.2529,17.4709
