,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80,Task_81,Task_82,Task_83,Task_84,Task_85,Task_86,Task_87,Task_88,Task_89,Task_90,Task_91,Task_92,Task_93,Task_94,Task_95,Task_96,Task_97,Task_98,Task_99,Task_100,Task_101,Task_102,Task_103,Task_104,Task_105,Task_106,Task_107,Task_108,Task_109,Task_110,Task_111,Task_112,Task_113,Task_114,Task_115,Task_116,Task_117,Task_118,Task_119,Task_120,Task_121,Task_122,Task_123,Task_124,Task_125,Task_126,Task_127,Task_128,Task_129,Task_130,Task_131,Task_132,Task_133,Task_134,Task_135,Task_136,Task_137,Task_138,Task_139,Task_140,Task_141,Task_142,Task_143,Task_144,Task_145,Task_146,Task_147,Task_148,Task_149,Task_150,Task_151,Task_152,Task_153,Task_154,Task_155,Task_156,Task_157,Task_158,Task_159,Task_160,Task_161,Task_162,Task_163,Task_164,Task_165,Task_166,Task_167,Task_168,Task_169,Task_170,Task_171,Task_172,Task_173,Task_174,Task_175,Task_176,Task_177,Task_178,Task_179,Task_180,Task_181,Task_182,Task_183,Task_184,Task_185,Task_186,Task_187,Task_188,Task_189,Task_190,Task_191,Task_192,Task_193,Task_194,Task_195,Task_196,Task_197,Task_198,Task_199,Task_200
Node_1,15.4162,12.333,21.5827,1.2847,0.7708,25.4368,7.9651,5.9096,13.6177,11.8191,2.8263,13.3607,16.9579,5.3957,15.1593,19.2703,13.8746,2.5694,20.555,16.7009,6.6804,6.4234,20.298,12.5899,7.4512,18.2425,17.9856,20.8119,12.8469,23.1244,3.3402,6.9373,1.2847,23.1244,4.6249,5.1387,2.8263,23.8952,11.5622,13.1038,21.8397,6.1665,6.1665,10.0206,22.8674,24.1521,7.7081,22.8674,23.6382,19.2703,14.6454,20.0411,17.9856,0.2569,10.7914,14.1316,7.4512,4.3679,21.0689,7.7081,14.6454,22.3535,12.5899,4.111,24.1521,17.9856,0.7708,13.6177,0.5139,2.3124,8.7359,16.444,10.5344,21.5827,11.5622,5.9096,23.1244,1.7986,13.1038,0.7708,25.6937,21.5827,10.2775,14.3885,22.6105,25.6937,24.1521,18.2425,1.5416,14.1316,8.7359,12.333,23.3813,13.6177,23.8952,21.3258,13.6177,8.4789,25.6937,8.9928,4.8818,11.0483,12.0761,18.2425,8.4789,10.7914,7.1942,11.0483,24.9229,20.555,13.1038,13.8746,18.7564,15.1593,9.5067,7.1942,19.2703,11.3052,1.0277,4.111,10.5344,11.5622,14.6454,21.0689,6.6804,22.6105,0.5139,3.0832,1.0277,17.9856,9.7636,12.0761,14.9024,5.3957,22.3535,17.9856,12.8469,23.1244,3.8541,15.4162,24.1521,2.5694,20.0411,2.5694,11.8191,12.8469,8.7359,25.1799,0.5139,25.6937,3.5971,6.4234,15.1593,21.8397,0.5139,17.9856,10.0206,5.9096,2.3124,13.1038,13.8746,24.9229,6.1665,24.666,0.7708,0.5139,19.7842,4.3679,13.8746,7.1942,13.1038,5.3957,20.8119,23.1244,11.8191,12.0761,10.7914,7.1942,19.0134,11.0483,14.3885,4.111,5.1387,2.8263,4.111,1.7986,7.4512,3.0832,11.5622,1.7986,20.8119,20.0411,5.3957,17.2148,24.1521,10.0206,0.2569,15.1593,3.5971,5.9096
Node_2,14.5278,11.6223,20.339,1.2107,0.7264,23.9709,7.5061,5.569,12.8329,11.138,2.6634,12.5908,15.9806,5.0847,14.2857,18.1598,13.0751,2.4213,19.3705,15.7385,6.2954,6.0533,19.1283,11.8644,7.0218,17.1913,16.9492,19.6126,12.1065,21.7918,3.1477,6.5375,1.2107,21.7918,4.3584,4.8426,2.6634,22.5182,10.8959,12.3487,20.5811,5.8111,5.8111,9.4431,21.5496,22.7603,7.2639,21.5496,22.276,18.1598,13.8015,18.8862,16.9492,0.2421,10.1695,13.3172,7.0218,4.1162,19.8547,7.2639,13.8015,21.0654,11.8644,3.8741,22.7603,16.9492,0.7264,12.8329,0.4843,2.1792,8.2324,15.4964,9.9274,20.339,10.8959,5.569,21.7918,1.6949,12.3487,0.7264,24.2131,20.339,9.6852,13.5593,21.3075,24.2131,22.7603,17.1913,1.4528,13.3172,8.2324,11.6223,22.0339,12.8329,22.5182,20.0969,12.8329,7.9903,24.2131,8.4746,4.6005,10.4116,11.3801,17.1913,7.9903,10.1695,6.7797,10.4116,23.4867,19.3705,12.3487,13.0751,17.6755,14.2857,8.9588,6.7797,18.1598,10.6538,0.9685,3.8741,9.9274,10.8959,13.8015,19.8547,6.2954,21.3075,0.4843,2.9056,0.9685,16.9492,9.201,11.3801,14.0436,5.0847,21.0654,16.9492,12.1065,21.7918,3.632,14.5278,22.7603,2.4213,18.8862,2.4213,11.138,12.1065,8.2324,23.7288,0.4843,24.2131,3.3898,6.0533,14.2857,20.5811,0.4843,16.9492,9.4431,5.569,2.1792,12.3487,13.0751,23.4867,5.8111,23.2446,0.7264,0.4843,18.6441,4.1162,13.0751,6.7797,12.3487,5.0847,19.6126,21.7918,11.138,11.3801,10.1695,6.7797,17.9177,10.4116,13.5593,3.8741,4.8426,2.6634,3.8741,1.6949,7.0218,2.9056,10.8959,1.6949,19.6126,18.8862,5.0847,16.2228,22.7603,9.4431,0.2421,14.2857,3.3898,5.569
Node_3,12.8949,10.3159,18.0529,1.0746,0.6447,21.2766,6.6624,4.943,11.3905,9.8861,2.3641,11.1756,14.1844,4.5132,12.68,16.1186,11.6054,2.1492,17.1932,13.9695,5.5878,5.3729,16.9783,10.5308,6.2325,15.259,15.0441,17.4081,10.7458,19.3424,2.7939,5.8027,1.0746,19.3424,3.8685,4.2983,2.3641,19.9871,9.6712,10.9607,18.2678,5.158,5.158,8.3817,19.1274,20.202,6.4475,19.1274,19.7722,16.1186,12.2502,16.7634,15.0441,0.2149,9.0264,11.8203,6.2325,3.6536,17.623,6.4475,12.2502,18.6976,10.5308,3.4386,20.202,15.0441,0.6447,11.3905,0.4298,1.9342,7.3071,13.7546,8.8115,18.0529,9.6712,4.943,19.3424,1.5044,10.9607,0.6447,21.4915,18.0529,8.5966,12.0352,18.9125,21.4915,20.202,15.259,1.2895,11.8203,7.3071,10.3159,19.5573,11.3905,19.9871,17.838,11.3905,7.0922,21.4915,7.522,4.0834,9.2413,10.101,15.259,7.0922,9.0264,6.0176,9.2413,20.8468,17.1932,10.9607,11.6054,15.6888,12.68,7.9519,6.0176,16.1186,9.4563,0.8597,3.4386,8.8115,9.6712,12.2502,17.623,5.5878,18.9125,0.4298,2.579,0.8597,15.0441,8.1668,10.101,12.4651,4.5132,18.6976,15.0441,10.7458,19.3424,3.2237,12.8949,20.202,2.1492,16.7634,2.1492,9.8861,10.7458,7.3071,21.0617,0.4298,21.4915,3.0088,5.3729,12.68,18.2678,0.4298,15.0441,8.3817,4.943,1.9342,10.9607,11.6054,20.8468,5.158,20.6319,0.6447,0.4298,16.5485,3.6536,11.6054,6.0176,10.9607,4.5132,17.4081,19.3424,9.8861,10.101,9.0264,6.0176,15.9037,9.2413,12.0352,3.4386,4.2983,2.3641,3.4386,1.5044,6.2325,2.579,9.6712,1.5044,17.4081,16.7634,4.5132,14.3993,20.202,8.3817,0.2149,12.68,3.0088,4.943
Node_4,114.7228,91.7782,160.6119,9.5602,5.7361,189.2925,59.2734,43.9771,101.3384,87.9541,21.0325,99.4264,126.195,40.153,112.8107,143.4034,103.2505,19.1205,152.9637,124.283,49.7132,47.8011,151.0516,93.6902,55.4493,135.7553,133.8432,154.8757,95.6023,172.0841,24.8566,51.6252,9.5602,172.0841,34.4168,38.2409,21.0325,177.8203,86.0421,97.5143,162.5239,45.8891,45.8891,74.5698,170.1721,179.7323,57.3614,170.1721,175.9082,143.4034,108.9866,149.1396,133.8432,1.912,80.3059,105.1625,55.4493,32.5048,156.7878,57.3614,108.9866,166.348,93.6902,30.5927,179.7323,133.8432,5.7361,101.3384,3.8241,17.2084,65.0096,122.3709,78.3939,160.6119,86.0421,43.9771,172.0841,13.3843,97.5143,5.7361,191.2046,160.6119,76.4818,107.0746,168.26,191.2046,179.7323,135.7553,11.4723,105.1625,65.0096,91.7782,173.9962,101.3384,177.8203,158.6998,101.3384,63.0975,191.2046,66.9216,36.3289,82.218,89.8662,135.7553,63.0975,80.3059,53.5373,82.218,185.4685,152.9637,97.5143,103.2505,139.5793,112.8107,70.7457,53.5373,143.4034,84.13,7.6482,30.5927,78.3939,86.0421,108.9866,156.7878,49.7132,168.26,3.8241,22.9446,7.6482,133.8432,72.6577,89.8662,110.8987,40.153,166.348,133.8432,95.6023,172.0841,28.6807,114.7228,179.7323,19.1205,149.1396,19.1205,87.9541,95.6023,65.0096,187.3805,3.8241,191.2046,26.7686,47.8011,112.8107,162.5239,3.8241,133.8432,74.5698,43.9771,17.2084,97.5143,103.2505,185.4685,45.8891,183.5564,5.7361,3.8241,147.2275,32.5048,103.2505,53.5373,97.5143,40.153,154.8757,172.0841,87.9541,89.8662,80.3059,53.5373,141.4914,82.218,107.0746,30.5927,38.2409,21.0325,30.5927,13.3843,55.4493,22.9446,86.0421,13.3843,154.8757,149.1396,40.153,128.1071,179.7323,74.5698,1.912,112.8107,26.7686,43.9771
Node_5,83.2178,66.5742,116.5049,6.9348,4.1609,137.3093,42.9958,31.9001,73.509,63.8003,15.2566,72.1221,91.5395,29.1262,81.8308,104.0222,74.896,13.8696,110.957,90.1526,36.061,34.6741,109.57,67.9612,40.2219,98.4743,97.0874,112.344,69.3481,124.8266,18.0305,37.448,6.9348,124.8266,24.9653,27.7393,15.2566,128.9875,62.4133,70.7351,117.8918,33.2871,33.2871,54.0915,123.4397,130.3745,41.6089,123.4397,127.6006,104.0222,79.0569,108.1831,97.0874,1.387,58.2524,76.2829,40.2219,23.5784,113.7309,41.6089,79.0569,120.6657,67.9612,22.1914,130.3745,97.0874,4.1609,73.509,2.7739,12.4827,47.1567,88.7656,56.8655,116.5049,62.4133,31.9001,124.8266,9.7087,70.7351,4.1609,138.6963,116.5049,55.4785,77.6699,122.0527,138.6963,130.3745,98.4743,8.3218,76.2829,47.1567,66.5742,126.2136,73.509,128.9875,115.1179,73.509,45.7698,138.6963,48.5437,26.3523,59.6394,65.1872,98.4743,45.7698,58.2524,38.835,59.6394,134.5354,110.957,70.7351,74.896,101.2483,81.8308,51.3176,38.835,104.0222,61.0264,5.5479,22.1914,56.8655,62.4133,79.0569,113.7309,36.061,122.0527,2.7739,16.6436,5.5479,97.0874,52.7046,65.1872,80.4438,29.1262,120.6657,97.0874,69.3481,124.8266,20.8044,83.2178,130.3745,13.8696,108.1831,13.8696,63.8003,69.3481,47.1567,135.9223,2.7739,138.6963,19.4175,34.6741,81.8308,117.8918,2.7739,97.0874,54.0915,31.9001,12.4827,70.7351,74.896,134.5354,33.2871,133.1484,4.1609,2.7739,106.7961,23.5784,74.896,38.835,70.7351,29.1262,112.344,124.8266,63.8003,65.1872,58.2524,38.835,102.6352,59.6394,77.6699,22.1914,27.7393,15.2566,22.1914,9.7087,40.2219,16.6436,62.4133,9.7087,112.344,108.1831,29.1262,92.9265,130.3745,54.0915,1.387,81.8308,19.4175,31.9001
Node_6,42.4929,33.9943,59.4901,3.5411,2.1246,70.1133,21.9547,16.289,37.5354,32.5779,7.7904,36.8272,46.7422,14.8725,41.7847,53.1161,38.2436,7.0822,56.6572,46.034,18.4136,17.7054,55.949,34.7025,20.5382,50.2833,49.5751,57.3654,35.4108,63.7394,9.2068,19.1218,3.5411,63.7394,12.7479,14.1643,7.7904,65.864,31.8697,36.119,60.1983,16.9972,16.9972,27.6204,63.0312,66.5722,21.2465,63.0312,65.1558,53.1161,40.3683,55.2408,49.5751,0.7082,29.745,38.9518,20.5382,12.0397,58.0737,21.2465,40.3683,61.6147,34.7025,11.3314,66.5722,49.5751,2.1246,37.5354,1.4164,6.3739,24.0793,45.3258,29.0368,59.4901,31.8697,16.289,63.7394,4.9575,36.119,2.1246,70.8215,59.4901,28.3286,39.6601,62.3229,70.8215,66.5722,50.2833,4.2493,38.9518,24.0793,33.9943,64.4476,37.5354,65.864,58.7819,37.5354,23.3711,70.8215,24.7875,13.4561,30.4533,33.2861,50.2833,23.3711,29.745,19.83,30.4533,68.6969,56.6572,36.119,38.2436,51.6997,41.7847,26.204,19.83,53.1161,31.1615,2.8329,11.3314,29.0368,31.8697,40.3683,58.0737,18.4136,62.3229,1.4164,8.4986,2.8329,49.5751,26.9122,33.2861,41.0765,14.8725,61.6147,49.5751,35.4108,63.7394,10.6232,42.4929,66.5722,7.0822,55.2408,7.0822,32.5779,35.4108,24.0793,69.4051,1.4164,70.8215,9.915,17.7054,41.7847,60.1983,1.4164,49.5751,27.6204,16.289,6.3739,36.119,38.2436,68.6969,16.9972,67.9887,2.1246,1.4164,54.5326,12.0397,38.2436,19.83,36.119,14.8725,57.3654,63.7394,32.5779,33.2861,29.745,19.83,52.4079,30.4533,39.6601,11.3314,14.1643,7.7904,11.3314,4.9575,20.5382,8.4986,31.8697,4.9575,57.3654,55.2408,14.8725,47.4504,66.5722,27.6204,0.7082,41.7847,9.915,16.289
Node_7,87.4636,69.9708,122.449,7.2886,4.3732,144.3149,45.1895,33.5277,77.2595,67.0554,16.035,75.8017,96.2099,30.6122,86.0058,109.3294,78.7172,14.5773,116.6181,94.7522,37.9009,36.4431,115.1603,71.4286,42.2741,103.4985,102.0408,118.0758,72.8863,131.1953,18.9504,39.3586,7.2886,131.1953,26.2391,29.1545,16.035,135.5685,65.5977,74.344,123.9067,34.9854,34.9854,56.8513,129.7376,137.0262,43.7318,129.7376,134.1108,109.3294,83.0904,113.7026,102.0408,1.4577,61.2245,80.1749,42.2741,24.7813,119.5335,43.7318,83.0904,126.8222,71.4286,23.3236,137.0262,102.0408,4.3732,77.2595,2.9155,13.1195,49.5627,93.2945,59.7668,122.449,65.5977,33.5277,131.1953,10.2041,74.344,4.3732,145.7726,122.449,58.309,81.6327,128.2799,145.7726,137.0262,103.4985,8.7464,80.1749,49.5627,69.9708,132.6531,77.2595,135.5685,120.9913,77.2595,48.105,145.7726,51.0204,27.6968,62.6822,68.5131,103.4985,48.105,61.2245,40.8163,62.6822,141.3994,116.6181,74.344,78.7172,106.414,86.0058,53.9359,40.8163,109.3294,64.1399,5.8309,23.3236,59.7668,65.5977,83.0904,119.5335,37.9009,128.2799,2.9155,17.4927,5.8309,102.0408,55.3936,68.5131,84.5481,30.6122,126.8222,102.0408,72.8863,131.1953,21.8659,87.4636,137.0262,14.5773,113.7026,14.5773,67.0554,72.8863,49.5627,142.8571,2.9155,145.7726,20.4082,36.4431,86.0058,123.9067,2.9155,102.0408,56.8513,33.5277,13.1195,74.344,78.7172,141.3994,34.9854,139.9417,4.3732,2.9155,112.2449,24.7813,78.7172,40.8163,74.344,30.6122,118.0758,131.1953,67.0554,68.5131,61.2245,40.8163,107.8717,62.6822,81.6327,23.3236,29.1545,16.035,23.3236,10.2041,42.2741,17.4927,65.5977,10.2041,118.0758,113.7026,30.6122,97.6676,137.0262,56.8513,1.4577,86.0058,20.4082,33.5277
Node_8,47.7327,38.1862,66.8258,3.9777,2.3866,78.7589,24.6619,18.2975,42.1639,36.5951,8.751,41.3683,52.506,16.7064,46.9372,59.6659,42.9594,7.9554,63.6436,51.7104,20.6842,19.8886,62.8481,38.9817,23.0708,56.4837,55.6881,64.4391,39.7772,71.599,10.3421,21.4797,3.9777,71.599,14.3198,15.9109,8.751,73.9857,35.7995,40.5728,67.6213,19.0931,19.0931,31.0263,70.8035,74.7812,23.8663,70.8035,73.1901,59.6659,45.3461,62.0525,55.6881,0.7955,33.4129,43.755,23.0708,13.5243,65.2347,23.8663,45.3461,69.2124,38.9817,12.7287,74.7812,55.6881,2.3866,42.1639,1.5911,7.1599,27.0485,50.9149,32.6173,66.8258,35.7995,18.2975,71.599,5.5688,40.5728,2.3866,79.5545,66.8258,31.8218,44.5505,70.008,79.5545,74.7812,56.4837,4.7733,43.755,27.0485,38.1862,72.3946,42.1639,73.9857,66.0302,42.1639,26.253,79.5545,27.8441,15.1154,34.2084,37.3906,56.4837,26.253,33.4129,22.2753,34.2084,77.1679,63.6436,40.5728,42.9594,58.0748,46.9372,29.4352,22.2753,59.6659,35.004,3.1822,12.7287,32.6173,35.7995,45.3461,65.2347,20.6842,70.008,1.5911,9.5465,3.1822,55.6881,30.2307,37.3906,46.1416,16.7064,69.2124,55.6881,39.7772,71.599,11.9332,47.7327,74.7812,7.9554,62.0525,7.9554,36.5951,39.7772,27.0485,77.9634,1.5911,79.5545,11.1376,19.8886,46.9372,67.6213,1.5911,55.6881,31.0263,18.2975,7.1599,40.5728,42.9594,77.1679,19.0931,76.3723,2.3866,1.5911,61.257,13.5243,42.9594,22.2753,40.5728,16.7064,64.4391,71.599,36.5951,37.3906,33.4129,22.2753,58.8703,34.2084,44.5505,12.7287,15.9109,8.751,12.7287,5.5688,23.0708,9.5465,35.7995,5.5688,64.4391,62.0525,16.7064,53.3015,74.7812,31.0263,0.7955,46.9372,11.1376,18.2975
Node_9,57.2519,45.8015,80.1527,4.771,2.8626,94.4656,29.5802,21.9466,50.5725,43.8931,10.4962,49.6183,62.9771,20.0382,56.2977,71.5649,51.5267,9.542,76.3359,62.0229,24.8092,23.855,75.3817,46.7557,27.6718,67.7481,66.7939,77.2901,47.7099,85.8779,12.4046,25.7634,4.771,85.8779,17.1756,19.084,10.4962,88.7405,42.9389,48.6641,81.1069,22.9008,22.9008,37.2137,84.9237,89.6947,28.626,84.9237,87.7863,71.5649,54.3893,74.4275,66.7939,0.9542,40.0763,52.4809,27.6718,16.2214,78.2443,28.626,54.3893,83.0153,46.7557,15.2672,89.6947,66.7939,2.8626,50.5725,1.9084,8.5878,32.4427,61.0687,39.1221,80.1527,42.9389,21.9466,85.8779,6.6794,48.6641,2.8626,95.4198,80.1527,38.1679,53.4351,83.9695,95.4198,89.6947,67.7481,5.7252,52.4809,32.4427,45.8015,86.8321,50.5725,88.7405,79.1985,50.5725,31.4885,95.4198,33.3969,18.1298,41.0305,44.8473,67.7481,31.4885,40.0763,26.7176,41.0305,92.5573,76.3359,48.6641,51.5267,69.6565,56.2977,35.3053,26.7176,71.5649,41.9847,3.8168,15.2672,39.1221,42.9389,54.3893,78.2443,24.8092,83.9695,1.9084,11.4504,3.8168,66.7939,36.2595,44.8473,55.3435,20.0382,83.0153,66.7939,47.7099,85.8779,14.313,57.2519,89.6947,9.542,74.4275,9.542,43.8931,47.7099,32.4427,93.5115,1.9084,95.4198,13.3588,23.855,56.2977,81.1069,1.9084,66.7939,37.2137,21.9466,8.5878,48.6641,51.5267,92.5573,22.9008,91.6031,2.8626,1.9084,73.4733,16.2214,51.5267,26.7176,48.6641,20.0382,77.2901,85.8779,43.8931,44.8473,40.0763,26.7176,70.6107,41.0305,53.4351,15.2672,19.084,10.4962,15.2672,6.6794,27.6718,11.4504,42.9389,6.6794,77.2901,74.4275,20.0382,63.9313,89.6947,37.2137,0.9542,56.2977,13.3588,21.9466
Node_10,48.9396,39.1517,68.5155,4.0783,2.447,80.7504,25.2855,18.7602,43.23,37.5204,8.9723,42.4144,53.8336,17.1289,48.124,61.1746,44.0457,8.1566,65.2529,53.0179,21.2072,20.3915,64.4372,39.9674,23.6542,57.9119,57.0962,66.0685,40.783,73.4095,10.6036,22.0228,4.0783,73.4095,14.6819,16.3132,8.9723,75.8564,36.7047,41.5987,69.3312,19.5759,19.5759,31.8108,72.5938,76.6721,24.4698,72.5938,75.0408,61.1746,46.4927,63.6215,57.0962,0.8157,34.2577,44.8613,23.6542,13.8662,66.8842,24.4698,46.4927,70.9625,39.9674,13.0506,76.6721,57.0962,2.447,43.23,1.6313,7.3409,27.7325,52.2023,33.4421,68.5155,36.7047,18.7602,73.4095,5.7096,41.5987,2.447,81.5661,68.5155,32.6264,45.677,71.7781,81.5661,76.6721,57.9119,4.894,44.8613,27.7325,39.1517,74.2251,43.23,75.8564,67.6998,43.23,26.9168,81.5661,28.5481,15.4976,35.0734,38.3361,57.9119,26.9168,34.2577,22.8385,35.0734,79.1191,65.2529,41.5987,44.0457,59.5432,48.124,30.1794,22.8385,61.1746,35.8891,3.2626,13.0506,33.4421,36.7047,46.4927,66.8842,21.2072,71.7781,1.6313,9.7879,3.2626,57.0962,30.9951,38.3361,47.3083,17.1289,70.9625,57.0962,40.783,73.4095,12.2349,48.9396,76.6721,8.1566,63.6215,8.1566,37.5204,40.783,27.7325,79.9347,1.6313,81.5661,11.4192,20.3915,48.124,69.3312,1.6313,57.0962,31.8108,18.7602,7.3409,41.5987,44.0457,79.1191,19.5759,78.3034,2.447,1.6313,62.8059,13.8662,44.0457,22.8385,41.5987,17.1289,66.0685,73.4095,37.5204,38.3361,34.2577,22.8385,60.3589,35.0734,45.677,13.0506,16.3132,8.9723,13.0506,5.7096,23.6542,9.7879,36.7047,5.7096,66.0685,63.6215,17.1289,54.6493,76.6721,31.8108,0.8157,48.124,11.4192,18.7602
