,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40
Node_1,10.6553,5.594,11.9872,18.9132,24.5072,9.5898,5.594,19.1795,8.7906,3.7294,12.7864,25.5727,12.52,20.2451,0.2664,5.3277,24.2408,21.3106,13.5855,4.2621,20.7778,5.0613,11.4544,10.1225,26.6383,22.1097,23.4417,17.0485,6.9259,17.3149,16.2493,19.7123,18.114,9.8562,3.1966,3.7294,5.8604,21.8434,7.7251,11.4544
Node_2,11.1576,5.8577,12.5523,19.8047,25.6625,10.0418,5.8577,20.0837,9.205,3.9052,13.3891,26.7782,13.1102,21.1994,0.2789,5.5788,25.3835,22.3152,14.2259,4.463,21.7573,5.2999,11.9944,10.5997,27.894,23.152,24.5467,17.8522,7.2524,18.1311,17.0153,20.6416,18.9679,10.3208,3.3473,3.9052,6.1367,22.8731,8.0893,11.9944
Node_3,8.6636,4.5484,9.7466,15.378,19.9264,7.7973,4.5484,15.5945,7.1475,3.0323,10.3964,20.7927,10.1798,16.4609,0.2166,4.3318,19.7098,17.3273,11.0461,3.4655,16.8941,4.1152,9.3134,8.2305,21.6591,17.977,19.06,13.8618,5.6314,14.0784,13.212,16.0277,14.7282,8.0139,2.5991,3.0323,4.765,17.7605,6.2811,9.3134
Node_4,36.4631,19.1431,41.021,64.722,83.8651,32.8168,19.1431,65.6335,30.082,12.7621,43.7557,87.5114,42.8441,69.2799,0.9116,18.2315,82.9535,72.9262,46.4904,14.5852,71.103,17.32,39.1978,34.6399,91.1577,75.6609,80.2188,58.3409,23.701,59.2525,55.6062,67.4567,61.9872,33.7284,10.9389,12.7621,20.0547,74.7493,26.4357,39.1978
Node_5,45.819,24.055,51.5464,81.3288,105.3837,41.2371,24.055,82.4742,37.8007,16.0367,54.9828,109.9656,53.8373,87.0561,1.1455,22.9095,104.2383,91.638,58.4192,18.3276,89.3471,21.764,49.2554,43.5281,114.5475,95.0745,100.8018,73.3104,29.7824,74.4559,69.874,84.7652,77.8923,42.3826,13.7457,16.0367,25.2005,93.929,33.2188,49.2554
Node_6,37.9507,19.9241,42.6945,67.3624,87.2865,34.1556,19.9241,68.3112,31.3093,13.2827,45.5408,91.0816,44.592,72.1063,0.9488,18.9753,86.3378,75.9013,48.3871,15.1803,74.0038,18.0266,40.797,36.0531,94.8767,78.7476,83.4915,60.7211,24.6679,61.6698,57.8748,70.2087,64.5161,35.1044,11.3852,13.2827,20.8729,77.7989,27.5142,40.797
Node_7,28.169,14.7887,31.6901,50,64.7887,25.3521,14.7887,50.7042,23.2394,9.8592,33.8028,67.6056,33.0986,53.5211,0.7042,14.0845,64.0845,56.338,35.9155,11.2676,54.9296,13.3803,30.2817,26.7606,70.4225,58.4507,61.9718,45.0704,18.3099,45.7746,42.9577,52.1127,47.8873,26.0563,8.4507,9.8592,15.493,57.7465,20.4225,30.2817
Node_8,36.1664,18.9873,40.6872,64.1953,83.1826,32.5497,18.9873,65.0995,29.8373,12.6582,43.3996,86.7993,42.4955,68.7161,0.9042,18.0832,82.2785,72.3327,46.1121,14.4665,70.5244,17.179,38.8788,34.358,90.4159,75.0452,79.566,57.8662,23.5081,58.7703,55.1537,66.9078,61.4828,33.4539,10.8499,12.6582,19.8915,74.141,26.2206,38.8788
Node_9,27.0453,14.1988,30.426,48.0054,62.2042,24.3408,14.1988,48.6815,22.3124,9.4659,32.4544,64.9087,31.7782,51.3861,0.6761,13.5227,61.5281,54.0906,34.4828,10.8181,52.7383,12.8465,29.0737,25.693,67.6133,56.119,59.4997,43.2725,17.5794,43.9486,41.2441,50.0338,45.977,25.0169,8.1136,9.4659,14.8749,55.4429,19.6078,29.0737
Node_10,62.0155,32.5581,69.7674,110.0775,142.6357,55.814,32.5581,111.6279,51.1628,21.7054,74.4186,148.8372,72.8682,117.8295,1.5504,31.0078,141.0853,124.031,79.0698,24.8062,120.9302,29.4574,66.6667,58.9147,155.0388,128.6822,136.4341,99.2248,40.3101,100.7752,94.5736,114.7287,105.4264,57.3643,18.6047,21.7054,34.1085,127.1318,44.9612,66.6667
Node_11,41.5369,21.8069,46.729,73.7279,95.5348,37.3832,21.8069,74.7664,34.2679,14.5379,49.8442,99.6885,48.8058,78.92,1.0384,20.7684,94.4964,83.0737,52.9595,16.6147,80.9969,19.73,44.6521,39.46,103.8422,86.189,91.3811,66.459,26.999,67.4974,63.3437,76.8432,70.6127,38.4216,12.4611,14.5379,22.8453,85.1506,30.1142,44.6521
Node_12,62.9921,33.0709,70.8661,111.811,144.8819,56.6929,33.0709,113.3858,51.9685,22.0472,75.5906,151.1811,74.0157,119.685,1.5748,31.4961,143.3071,125.9843,80.315,25.1969,122.8346,29.9213,67.7165,59.8425,157.4803,130.7087,138.5827,100.7874,40.9449,102.3622,96.063,116.5354,107.0866,58.2677,18.8976,22.0472,34.6457,129.1339,45.6693,67.7165
Node_13,35.057,18.4049,39.4391,62.2261,80.631,31.5513,18.4049,63.1025,28.922,12.2699,42.0684,84.1367,41.1919,66.6082,0.8764,17.5285,79.7546,70.1139,44.6976,14.0228,68.3611,16.6521,37.6862,33.3041,87.6424,72.7432,77.1253,56.0911,22.787,56.9676,53.4619,64.8554,59.5968,32.4277,10.5171,12.2699,19.2813,71.8668,25.4163,37.6862
