,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80,Task_81,Task_82,Task_83,Task_84,Task_85,Task_86,Task_87,Task_88,Task_89,Task_90,Task_91,Task_92,Task_93,Task_94,Task_95,Task_96,Task_97,Task_98,Task_99,Task_100,Task_101,Task_102,Task_103,Task_104,Task_105,Task_106,Task_107,Task_108,Task_109,Task_110,Task_111,Task_112,Task_113,Task_114,Task_115,Task_116,Task_117,Task_118,Task_119,Task_120,Task_121,Task_122,Task_123,Task_124,Task_125,Task_126,Task_127,Task_128,Task_129,Task_130,Task_131,Task_132,Task_133,Task_134,Task_135,Task_136,Task_137,Task_138,Task_139,Task_140,Task_141,Task_142,Task_143,Task_144,Task_145,Task_146,Task_147,Task_148,Task_149,Task_150,Task_151,Task_152,Task_153,Task_154,Task_155,Task_156,Task_157,Task_158,Task_159,Task_160
Node_1,2.5957,1.9468,20.1168,11.4644,20.1168,21.631,3.461,17.0885,13.1949,2.812,5.6241,5.4077,14.9254,15.5743,7.1382,12.1133,16.8722,0.6489,8.2198,5.1914,17.3048,17.5211,14.2764,14.2764,2.5957,16.8722,11.6807,20.7657,0.4326,5.1914,6.273,14.0601,12.1133,1.9468,12.546,0.4326,1.7305,4.7588,4.7588,20.7657,11.0318,6.0567,8.4361,11.2481,1.7305,5.1914,5.8404,19.6842,17.7374,21.4147,0.6489,17.9537,2.3794,12.1133,17.5211,0.8652,10.1666,18.8189,7.3545,21.631,17.7374,11.4644,12.9786,10.1666,7.5708,5.6241,7.1382,15.358,4.1099,0.8652,2.3794,13.4112,19.9005,12.1133,5.8404,17.5211,2.812,20.1168,9.9502,11.6807,13.4112,19.9005,17.5211,17.7374,13.8438,12.3297,9.5176,19.0353,13.1949,6.273,8.0035,13.8438,2.1631,15.358,4.9751,5.8404,2.5957,1.5142,4.7588,19.9005,8.4361,10.1666,12.7623,5.4077,5.1914,4.5425,20.982,5.1914,17.7374,18.17,8.6524,19.0353,2.5957,12.546,6.273,3.8936,12.546,6.0567,3.6773,1.2979,0.4326,15.358,1.5142,9.085,4.3262,18.3863,9.5176,7.3545,2.3794,12.9786,5.4077,17.9537,14.0601,19.0353,7.5708,0.2163,17.7374,1.9468,12.1133,17.9537,7.7872,15.358,9.7339,3.8936,12.546,11.2481,13.1949,9.5176,19.9005,3.461,16.0069,11.0318,17.5211,19.6842,18.3863,6.7056,20.5494,13.6275,13.1949,9.085
Node_2,3.5305,2.6478,27.361,15.5928,27.361,29.4204,4.7073,23.2421,17.9465,3.8247,7.6493,7.3551,20.3001,21.1827,9.7087,16.4754,22.9479,0.8826,11.1798,7.0609,23.5363,23.8305,19.4175,19.4175,3.5305,22.9479,15.887,28.2436,0.5884,7.0609,8.5319,19.1233,16.4754,2.6478,17.0638,0.5884,2.3536,6.4725,6.4725,28.2436,15.0044,8.2377,11.474,15.2986,2.3536,7.0609,7.9435,26.7726,24.1247,29.1262,0.8826,24.4189,3.2362,16.4754,23.8305,1.1768,13.8276,25.5958,10.0029,29.4204,24.1247,15.5928,17.6523,13.8276,10.2971,7.6493,9.7087,20.8885,5.5899,1.1768,3.2362,18.2407,27.0668,16.4754,7.9435,23.8305,3.8247,27.361,13.5334,15.887,18.2407,27.0668,23.8305,24.1247,18.8291,16.7696,12.945,25.89,17.9465,8.5319,10.8856,18.8291,2.942,20.8885,6.7667,7.9435,3.5305,2.0594,6.4725,27.0668,11.474,13.8276,17.358,7.3551,7.0609,6.1783,28.5378,7.0609,24.1247,24.7132,11.7682,25.89,3.5305,17.0638,8.5319,5.2957,17.0638,8.2377,5.0015,1.7652,0.5884,20.8885,2.0594,12.3566,5.8841,25.0074,12.945,10.0029,3.2362,17.6523,7.3551,24.4189,19.1233,25.89,10.2971,0.2942,24.1247,2.6478,16.4754,24.4189,10.5914,20.8885,13.2392,5.2957,17.0638,15.2986,17.9465,12.945,27.0668,4.7073,21.7711,15.0044,23.8305,26.7726,25.0074,9.1203,27.9494,18.5349,17.9465,12.3566
Node_3,2.8342,2.1256,21.965,12.5177,21.965,23.6183,3.7789,18.6585,14.4072,3.0704,6.1408,5.9046,16.2966,17.0052,7.794,13.2263,18.4223,0.7085,8.975,5.6684,18.8947,19.1308,15.5881,15.5881,2.8342,18.4223,12.7539,22.6736,0.4724,5.6684,6.8493,15.3519,13.2263,2.1256,13.6986,0.4724,1.8895,5.196,5.196,22.6736,12.0453,6.6131,9.2111,12.2815,1.8895,5.6684,6.3769,21.4927,19.367,23.3821,0.7085,19.6032,2.598,13.2263,19.1308,0.9447,11.1006,20.5479,8.0302,23.6183,19.367,12.5177,14.171,11.1006,8.2664,6.1408,7.794,16.769,4.4875,0.9447,2.598,14.6434,21.7289,13.2263,6.3769,19.1308,3.0704,21.965,10.8644,12.7539,14.6434,21.7289,19.1308,19.367,15.1157,13.4624,10.3921,20.7841,14.4072,6.8493,8.7388,15.1157,2.3618,16.769,5.4322,6.3769,2.8342,1.6533,5.196,21.7289,9.2111,11.1006,13.9348,5.9046,5.6684,4.9598,22.9098,5.6684,19.367,19.8394,9.4473,20.7841,2.8342,13.6986,6.8493,4.2513,13.6986,6.6131,4.0151,1.4171,0.4724,16.769,1.6533,9.9197,4.7237,20.0756,10.3921,8.0302,2.598,14.171,5.9046,19.6032,15.3519,20.7841,8.2664,0.2362,19.367,2.1256,13.2263,19.6032,8.5026,16.769,10.6282,4.2513,13.6986,12.2815,14.4072,10.3921,21.7289,3.7789,17.4776,12.0453,19.1308,21.4927,20.0756,7.3217,22.4374,14.8795,14.4072,9.9197
Node_4,13.0577,9.7933,101.197,57.6714,101.197,108.8139,17.4102,85.963,66.3765,14.1458,28.2916,27.2035,75.0816,78.346,35.9086,60.9358,84.8749,3.2644,41.3493,26.1153,87.0511,88.1393,71.8172,71.8172,13.0577,84.8749,58.7595,104.4614,2.1763,26.1153,31.556,70.7291,60.9358,9.7933,63.1121,2.1763,8.7051,23.9391,23.9391,104.4614,55.4951,30.4679,42.4374,56.5832,8.7051,26.1153,29.3798,99.0207,89.2274,107.7258,3.2644,90.3156,11.9695,60.9358,88.1393,4.3526,51.1425,94.6681,36.9967,108.8139,89.2274,57.6714,65.2884,51.1425,38.0849,28.2916,35.9086,77.2579,20.6746,4.3526,11.9695,67.4646,100.1088,60.9358,29.3798,88.1393,14.1458,101.197,50.0544,58.7595,67.4646,100.1088,88.1393,89.2274,69.6409,62.0239,47.8781,95.7563,66.3765,31.556,40.2612,69.6409,10.8814,77.2579,25.0272,29.3798,13.0577,7.617,23.9391,100.1088,42.4374,51.1425,64.2002,27.2035,26.1153,22.8509,105.5495,26.1153,89.2274,91.4037,43.5256,95.7563,13.0577,63.1121,31.556,19.5865,63.1121,30.4679,18.4984,6.5288,2.1763,77.2579,7.617,45.7018,21.7628,92.4918,47.8781,36.9967,11.9695,65.2884,27.2035,90.3156,70.7291,95.7563,38.0849,1.0881,89.2274,9.7933,60.9358,90.3156,39.173,77.2579,48.9663,19.5865,63.1121,56.5832,66.3765,47.8781,100.1088,17.4102,80.5223,55.4951,88.1393,99.0207,92.4918,33.7323,103.3732,68.5528,66.3765,45.7018
Node_5,10.5727,7.9295,81.9383,46.696,81.9383,88.1057,14.0969,69.6035,53.7445,11.4537,22.9075,22.0264,60.793,63.4361,29.0749,49.3392,68.7225,2.6432,33.4802,21.1454,70.4846,71.3656,58.1498,58.1498,10.5727,68.7225,47.5771,84.5815,1.7621,21.1454,25.5507,57.2687,49.3392,7.9295,51.1013,1.7621,7.0485,19.3833,19.3833,84.5815,44.9339,24.6696,34.3612,45.815,7.0485,21.1454,23.7885,80.1762,72.2467,87.2247,2.6432,73.1278,9.6916,49.3392,71.3656,3.5242,41.4097,76.652,29.9559,88.1057,72.2467,46.696,52.8634,41.4097,30.837,22.9075,29.0749,62.5551,16.7401,3.5242,9.6916,54.6256,81.0573,49.3392,23.7885,71.3656,11.4537,81.9383,40.5286,47.5771,54.6256,81.0573,71.3656,72.2467,56.3877,50.2203,38.7665,77.533,53.7445,25.5507,32.5991,56.3877,8.8106,62.5551,20.2643,23.7885,10.5727,6.1674,19.3833,81.0573,34.3612,41.4097,51.9824,22.0264,21.1454,18.5022,85.4626,21.1454,72.2467,74.0088,35.2423,77.533,10.5727,51.1013,25.5507,15.859,51.1013,24.6696,14.978,5.2863,1.7621,62.5551,6.1674,37.0044,17.6211,74.8899,38.7665,29.9559,9.6916,52.8634,22.0264,73.1278,57.2687,77.533,30.837,0.8811,72.2467,7.9295,49.3392,73.1278,31.7181,62.5551,39.6476,15.859,51.1013,45.815,53.7445,38.7665,81.0573,14.0969,65.1982,44.9339,71.3656,80.1762,74.8899,27.3128,83.7004,55.5066,53.7445,37.0044
Node_6,10.772,8.079,83.4829,47.5763,83.4829,89.7666,14.3627,70.9156,54.7576,11.6697,23.3393,22.4417,61.939,64.632,29.623,50.2693,70.018,2.693,34.1113,21.544,71.8133,72.711,59.246,59.246,10.772,70.018,48.474,86.1759,1.7953,21.544,26.0323,58.3483,50.2693,8.079,52.0646,1.7953,7.1813,19.7487,19.7487,86.1759,45.781,25.1346,35.009,46.6786,7.1813,21.544,24.237,81.6876,73.6086,88.8689,2.693,74.5063,9.8743,50.2693,72.711,3.5907,42.1903,78.0969,30.5206,89.7666,73.6086,47.5763,53.86,42.1903,31.4183,23.3393,29.623,63.7343,17.0557,3.5907,9.8743,55.6553,82.5853,50.2693,24.237,72.711,11.6697,83.4829,41.2926,48.474,55.6553,82.5853,72.711,73.6086,57.4506,51.167,39.4973,78.9946,54.7576,26.0323,33.2136,57.4506,8.9767,63.7343,20.6463,24.237,10.772,6.2837,19.7487,82.5853,35.009,42.1903,52.9623,22.4417,21.544,18.851,87.0736,21.544,73.6086,75.4039,35.9066,78.9946,10.772,52.0646,26.0323,16.158,52.0646,25.1346,15.2603,5.386,1.7953,63.7343,6.2837,37.702,17.9533,76.3016,39.4973,30.5206,9.8743,53.86,22.4417,74.5063,58.3483,78.9946,31.4183,0.8977,73.6086,8.079,50.2693,74.5063,32.316,63.7343,40.395,16.158,52.0646,46.6786,54.7576,39.4973,82.5853,14.3627,66.4273,45.781,72.711,81.6876,76.3016,27.8276,85.2783,56.553,54.7576,37.702
Node_7,16.5062,12.3796,127.923,72.9023,127.923,137.5516,22.0083,108.6657,83.9065,17.8817,35.7634,34.3879,94.9106,99.0371,45.392,77.0289,107.2902,4.1265,52.2696,33.0124,110.0413,111.4168,90.784,90.784,16.5062,107.2902,74.2779,132.0495,2.751,33.0124,39.89,89.4085,77.0289,12.3796,79.7799,2.751,11.0041,30.2613,30.2613,132.0495,70.1513,38.5144,53.6451,71.5268,11.0041,33.0124,37.1389,125.1719,112.7923,136.1761,4.1265,114.1678,15.1307,77.0289,111.4168,5.5021,64.6492,119.6699,46.7675,137.5516,112.7923,72.9023,82.5309,64.6492,48.1431,35.7634,45.392,97.6616,26.1348,5.5021,15.1307,85.282,126.5475,77.0289,37.1389,111.4168,17.8817,127.923,63.2737,74.2779,85.282,126.5475,111.4168,112.7923,88.033,78.4044,60.5227,121.0454,83.9065,39.89,50.8941,88.033,13.7552,97.6616,31.6369,37.1389,16.5062,9.6286,30.2613,126.5475,53.6451,64.6492,81.1554,34.3879,33.0124,28.8858,133.425,33.0124,112.7923,115.5433,55.0206,121.0454,16.5062,79.7799,39.89,24.7593,79.7799,38.5144,23.3838,8.2531,2.751,97.6616,9.6286,57.7717,27.5103,116.9188,60.5227,46.7675,15.1307,82.5309,34.3879,114.1678,89.4085,121.0454,48.1431,1.3755,112.7923,12.3796,77.0289,114.1678,49.5186,97.6616,61.8982,24.7593,79.7799,71.5268,83.9065,60.5227,126.5475,22.0083,101.7882,70.1513,111.4168,125.1719,116.9188,42.641,130.674,86.6575,83.9065,57.7717
Node_8,16.4384,12.3288,127.3973,72.6027,127.3973,136.9863,21.9178,108.2192,83.5616,17.8082,35.6164,34.2466,94.5205,98.6301,45.2055,76.7123,106.8493,4.1096,52.0548,32.8767,109.589,110.9589,90.411,90.411,16.4384,106.8493,73.9726,131.5068,2.7397,32.8767,39.726,89.0411,76.7123,12.3288,79.4521,2.7397,10.9589,30.137,30.137,131.5068,69.863,38.3562,53.4247,71.2329,10.9589,32.8767,36.9863,124.6575,112.3288,135.6164,4.1096,113.6986,15.0685,76.7123,110.9589,5.4795,64.3836,119.1781,46.5753,136.9863,112.3288,72.6027,82.1918,64.3836,47.9452,35.6164,45.2055,97.2603,26.0274,5.4795,15.0685,84.9315,126.0274,76.7123,36.9863,110.9589,17.8082,127.3973,63.0137,73.9726,84.9315,126.0274,110.9589,112.3288,87.6712,78.0822,60.274,120.5479,83.5616,39.726,50.6849,87.6712,13.6986,97.2603,31.5068,36.9863,16.4384,9.589,30.137,126.0274,53.4247,64.3836,80.8219,34.2466,32.8767,28.7671,132.8767,32.8767,112.3288,115.0685,54.7945,120.5479,16.4384,79.4521,39.726,24.6575,79.4521,38.3562,23.2877,8.2192,2.7397,97.2603,9.589,57.5342,27.3973,116.4384,60.274,46.5753,15.0685,82.1918,34.2466,113.6986,89.0411,120.5479,47.9452,1.3699,112.3288,12.3288,76.7123,113.6986,49.3151,97.2603,61.6438,24.6575,79.4521,71.2329,83.5616,60.274,126.0274,21.9178,101.3699,69.863,110.9589,124.6575,116.4384,42.4658,130.137,86.3014,83.5616,57.5342
Node_9,21.3144,15.9858,165.1865,94.1385,165.1865,177.6199,28.4192,140.3197,108.3481,23.0906,46.1812,44.405,122.5577,127.8863,58.6146,99.4671,138.5435,5.3286,67.4956,42.6288,142.0959,143.8721,117.2291,117.2291,21.3144,138.5435,95.9147,170.5151,3.5524,42.6288,51.5098,115.4529,99.4671,15.9858,103.0195,3.5524,14.2096,39.0764,39.0764,170.5151,90.5861,49.7336,69.2718,92.3623,14.2096,42.6288,47.9574,161.6341,145.6483,175.8437,5.3286,147.4245,19.5382,99.4671,143.8721,7.1048,83.4813,154.5293,60.3908,177.6199,145.6483,94.1385,106.5719,83.4813,62.167,46.1812,58.6146,126.1101,33.7478,7.1048,19.5382,110.1243,163.4103,99.4671,47.9574,143.8721,23.0906,165.1865,81.7052,95.9147,110.1243,163.4103,143.8721,145.6483,113.6767,101.2433,78.1528,156.3055,108.3481,51.5098,65.7194,113.6767,17.762,126.1101,40.8526,47.9574,21.3144,12.4334,39.0764,163.4103,69.2718,83.4813,104.7957,44.405,42.6288,37.3002,172.2913,42.6288,145.6483,149.2007,71.048,156.3055,21.3144,103.0195,51.5098,31.9716,103.0195,49.7336,30.1954,10.6572,3.5524,126.1101,12.4334,74.6004,35.524,150.9769,78.1528,60.3908,19.5382,106.5719,44.405,147.4245,115.4529,156.3055,62.167,1.7762,145.6483,15.9858,99.4671,147.4245,63.9432,126.1101,79.929,31.9716,103.0195,92.3623,108.3481,78.1528,163.4103,28.4192,131.4387,90.5861,143.8721,161.6341,150.9769,55.0622,168.7389,111.9005,108.3481,74.6004
Node_10,13.3779,10.0334,103.6789,59.0858,103.6789,111.4827,17.8372,88.0713,68.0045,14.4928,28.9855,27.8707,76.9231,80.2676,36.7893,62.4303,86.9565,3.3445,42.3634,26.7559,89.1862,90.301,73.5786,73.5786,13.3779,86.9565,60.2007,107.0234,2.2297,26.7559,32.33,72.4638,62.4303,10.0334,64.66,2.2297,8.9186,24.5262,24.5262,107.0234,56.8562,31.2152,43.4783,57.971,8.9186,26.7559,30.1003,101.4493,91.4158,110.3679,3.3445,92.5307,12.2631,62.4303,90.301,4.4593,52.3969,96.99,37.9041,111.4827,91.4158,59.0858,66.8896,52.3969,39.019,28.9855,36.7893,79.1527,21.1817,4.4593,12.2631,69.1193,102.5641,62.4303,30.1003,90.301,14.4928,103.6789,51.2821,60.2007,69.1193,102.5641,90.301,91.4158,71.3489,63.5452,49.0524,98.1048,68.0045,32.33,41.2486,71.3489,11.1483,79.1527,25.641,30.1003,13.3779,7.8038,24.5262,102.5641,43.4783,52.3969,65.7748,27.8707,26.7559,23.4114,108.1382,26.7559,91.4158,93.6455,44.5931,98.1048,13.3779,64.66,32.33,20.0669,64.66,31.2152,18.9521,6.689,2.2297,79.1527,7.8038,46.8227,22.2965,94.7603,49.0524,37.9041,12.2631,66.8896,27.8707,92.5307,72.4638,98.1048,39.019,1.1148,91.4158,10.0334,62.4303,92.5307,40.1338,79.1527,50.1672,20.0669,64.66,57.971,68.0045,49.0524,102.5641,17.8372,82.4972,56.8562,90.301,101.4493,94.7603,34.5596,105.9086,70.2341,68.0045,46.8227
