,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80,Task_81,Task_82,Task_83,Task_84,Task_85,Task_86,Task_87,Task_88,Task_89,Task_90,Task_91,Task_92,Task_93,Task_94,Task_95,Task_96,Task_97,Task_98,Task_99,Task_100,Task_101,Task_102,Task_103,Task_104,Task_105,Task_106,Task_107,Task_108,Task_109,Task_110,Task_111,Task_112,Task_113,Task_114,Task_115,Task_116,Task_117,Task_118,Task_119,Task_120,Task_121,Task_122,Task_123,Task_124,Task_125,Task_126,Task_127,Task_128,Task_129,Task_130,Task_131,Task_132,Task_133,Task_134,Task_135,Task_136,Task_137,Task_138,Task_139,Task_140,Task_141,Task_142,Task_143,Task_144,Task_145,Task_146,Task_147,Task_148,Task_149,Task_150,Task_151,Task_152,Task_153,Task_154,Task_155,Task_156,Task_157,Task_158,Task_159,Task_160,Task_161,Task_162,Task_163,Task_164,Task_165,Task_166,Task_167,Task_168,Task_169,Task_170,Task_171,Task_172,Task_173,Task_174,Task_175,Task_176,Task_177,Task_178,Task_179,Task_180,Task_181,Task_182,Task_183,Task_184,Task_185,Task_186,Task_187,Task_188,Task_189,Task_190,Task_191,Task_192,Task_193,Task_194,Task_195,Task_196,Task_197,Task_198,Task_199,Task_200,Task_201,Task_202,Task_203,Task_204,Task_205,Task_206,Task_207,Task_208,Task_209,Task_210,Task_211,Task_212,Task_213,Task_214,Task_215,Task_216,Task_217,Task_218,Task_219,Task_220,Task_221,Task_222,Task_223,Task_224,Task_225,Task_226,Task_227,Task_228,Task_229,Task_230,Task_231,Task_232,Task_233,Task_234,Task_235,Task_236,Task_237,Task_238,Task_239,Task_240
Node_1,20.7488,3.834,1.5787,9.0212,22.1019,6.0893,8.3446,7.4425,9.0212,8.7957,18.719,19.17,6.0893,1.3532,12.1786,18.4935,12.4041,16.6892,6.0893,13.9829,7.668,15.336,6.0893,15.7871,18.9445,11.7276,4.0595,0.6766,19.3956,6.9914,22.3275,21.8764,6.5404,18.9445,21.8764,20.2977,11.051,18.0424,7.8935,6.3148,7.668,1.5787,13.9829,11.2765,9.4723,7.668,19.6211,15.1105,15.336,2.0298,19.3956,5.1872,1.8042,21.1998,21.8764,5.8638,18.0424,3.6085,20.0722,13.5318,11.051,13.3063,9.9233,22.1019,8.1191,12.1786,6.3148,5.1872,21.8764,11.9531,13.7573,15.7871,7.8935,16.0126,9.4723,10.1488,16.6892,13.3063,6.9914,0.2255,22.1019,9.9233,8.1191,6.0893,18.9445,10.3744,3.6085,14.885,12.4041,10.1488,7.668,0.2255,13.3063,11.9531,11.051,18.2679,13.5318,8.1191,10.8254,2.7064,20.2977,22.1019,15.1105,6.0893,5.6382,15.7871,16.6892,1.3532,16.2382,21.6509,21.1998,16.4637,11.9531,6.5404,10.1488,18.9445,5.4127,16.6892,8.3446,18.719,5.1872,7.4425,11.9531,11.9531,5.8638,11.2765,8.1191,11.502,14.2084,18.719,7.668,19.17,21.6509,9.4723,1.8042,2.7064,4.2851,18.2679,15.5616,18.4935,6.3148,0.9021,15.5616,3.1574,14.6594,8.7957,1.3532,12.4041,18.2679,17.1403,18.719,20.0722,19.8466,15.5616,19.8466,4.9617,4.0595,4.2851,20.7488,17.3658,13.3063,5.6382,0.4511,20.9743,6.0893,22.553,15.5616,8.1191,18.9445,3.6085,22.1019,15.1105,14.4339,17.5913,1.5787,9.2467,2.9319,14.885,13.3063,1.8042,7.217,11.9531,8.5701,14.2084,20.9743,17.3658,3.1574,20.9743,14.885,1.3532,9.2467,7.668,15.7871,15.5616,4.0595,13.9829,5.6382,1.3532,20.2977,13.0807,4.2851,13.0807,3.1574,13.5318,16.4637,0.4511,0.2255,16.4637,4.7361,16.4637,3.3829,19.17,6.9914,17.5913,3.3829,2.9319,18.0424,0.6766,14.6594,12.6297,15.336,7.217,7.217,20.9743,9.6978,11.051,16.6892,6.5404,7.217,10.3744,17.8169,11.502,21.1998,13.5318,0.9021,10.8254,7.8935,15.7871,10.8254,13.5318
Node_2,27.512,5.0837,2.0933,11.9617,29.3062,8.0742,11.0646,9.8684,11.9617,11.6627,24.8206,25.4187,8.0742,1.7943,16.1483,24.5215,16.4474,22.1292,8.0742,18.5407,10.1675,20.3349,8.0742,20.933,25.1196,15.5502,5.3828,0.8971,25.7177,9.2703,29.6053,29.0072,8.6722,25.1196,29.0072,26.9139,14.6531,23.9234,10.4665,8.3732,10.1675,2.0933,18.5407,14.9522,12.5598,10.1675,26.0167,20.0359,20.3349,2.6914,25.7177,6.878,2.3923,28.11,29.0072,7.7751,23.9234,4.7847,26.6148,17.9426,14.6531,17.6435,13.1579,29.3062,10.7656,16.1483,8.3732,6.878,29.0072,15.8493,18.2416,20.933,10.4665,21.2321,12.5598,13.4569,22.1292,17.6435,9.2703,0.299,29.3062,13.1579,10.7656,8.0742,25.1196,13.756,4.7847,19.7368,16.4474,13.4569,10.1675,0.299,17.6435,15.8493,14.6531,24.2225,17.9426,10.7656,14.3541,3.5885,26.9139,29.3062,20.0359,8.0742,7.4761,20.933,22.1292,1.7943,21.5311,28.7081,28.11,21.8301,15.8493,8.6722,13.4569,25.1196,7.177,22.1292,11.0646,24.8206,6.878,9.8684,15.8493,15.8493,7.7751,14.9522,10.7656,15.2512,18.8397,24.8206,10.1675,25.4187,28.7081,12.5598,2.3923,3.5885,5.6818,24.2225,20.634,24.5215,8.3732,1.1962,20.634,4.1866,19.4378,11.6627,1.7943,16.4474,24.2225,22.7273,24.8206,26.6148,26.3158,20.634,26.3158,6.5789,5.3828,5.6818,27.512,23.0263,17.6435,7.4761,0.5981,27.811,8.0742,29.9043,20.634,10.7656,25.1196,4.7847,29.3062,20.0359,19.1388,23.3254,2.0933,12.2608,3.8876,19.7368,17.6435,2.3923,9.5694,15.8493,11.3636,18.8397,27.811,23.0263,4.1866,27.811,19.7368,1.7943,12.2608,10.1675,20.933,20.634,5.3828,18.5407,7.4761,1.7943,26.9139,17.3445,5.6818,17.3445,4.1866,17.9426,21.8301,0.5981,0.299,21.8301,6.2799,21.8301,4.4856,25.4187,9.2703,23.3254,4.4856,3.8876,23.9234,0.8971,19.4378,16.7464,20.3349,9.5694,9.5694,27.811,12.8589,14.6531,22.1292,8.6722,9.5694,13.756,23.6244,15.2512,28.11,17.9426,1.1962,14.3541,10.4665,20.933,14.3541,17.9426
Node_3,19.0201,3.5146,1.4472,8.2696,20.2605,5.582,7.6494,6.8224,8.2696,8.0628,17.1594,17.5729,5.582,1.2404,11.1639,16.9527,11.3707,15.2987,5.582,12.8179,7.0292,14.0583,5.582,14.4718,17.3661,10.7505,3.7213,0.6202,17.7796,6.4089,20.4672,20.0538,5.9955,17.3661,20.0538,18.6066,10.1302,16.5392,7.2359,5.7887,7.0292,1.4472,12.8179,10.337,8.6831,7.0292,17.9864,13.8516,14.0583,1.8607,17.7796,4.755,1.6539,19.4335,20.0538,5.3752,16.5392,3.3078,18.3998,12.4044,10.1302,12.1976,9.0965,20.2605,7.4426,11.1639,5.7887,4.755,20.0538,10.9572,12.6111,14.4718,7.2359,14.6785,8.6831,9.3033,15.2987,12.1976,6.4089,0.2067,20.2605,9.0965,7.4426,5.582,17.3661,9.51,3.3078,13.6448,11.3707,9.3033,7.0292,0.2067,12.1976,10.9572,10.1302,16.7459,12.4044,7.4426,9.9235,2.4809,18.6066,20.2605,13.8516,5.582,5.1685,14.4718,15.2987,1.2404,14.8853,19.847,19.4335,15.092,10.9572,5.9955,9.3033,17.3661,4.9618,15.2987,7.6494,17.1594,4.755,6.8224,10.9572,10.9572,5.3752,10.337,7.4426,10.5437,13.0246,17.1594,7.0292,17.5729,19.847,8.6831,1.6539,2.4809,3.9281,16.7459,14.265,16.9527,5.7887,0.827,14.265,2.8944,13.4381,8.0628,1.2404,11.3707,16.7459,15.7122,17.1594,18.3998,18.1931,14.265,18.1931,4.5483,3.7213,3.9281,19.0201,15.919,12.1976,5.1685,0.4135,19.2268,5.582,20.674,14.265,7.4426,17.3661,3.3078,20.2605,13.8516,13.2313,16.1257,1.4472,8.4763,2.6876,13.6448,12.1976,1.6539,6.6157,10.9572,7.8561,13.0246,19.2268,15.919,2.8944,19.2268,13.6448,1.2404,8.4763,7.0292,14.4718,14.265,3.7213,12.8179,5.1685,1.2404,18.6066,11.9909,3.9281,11.9909,2.8944,12.4044,15.092,0.4135,0.2067,15.092,4.3415,15.092,3.1011,17.5729,6.4089,16.1257,3.1011,2.6876,16.5392,0.6202,13.4381,11.5774,14.0583,6.6157,6.6157,19.2268,8.8898,10.1302,15.2987,5.9955,6.6157,9.51,16.3324,10.5437,19.4335,12.4044,0.827,9.9235,7.2359,14.4718,9.9235,12.4044
Node_4,107.8546,19.9297,8.2063,46.8933,114.8886,31.653,43.3763,38.687,46.8933,45.721,97.3036,99.6483,31.653,7.034,63.306,96.1313,64.4783,86.7526,31.653,72.6846,39.8593,79.7186,31.653,82.0633,98.476,60.9613,21.102,3.517,100.8206,36.3423,116.061,113.7163,33.9977,98.476,113.7163,105.51,57.4443,93.7866,41.0317,32.8253,39.8593,8.2063,72.6846,58.6166,49.238,39.8593,101.993,78.5463,79.7186,10.551,100.8206,26.9637,9.3787,110.1993,113.7163,30.4807,93.7866,18.7573,104.3376,70.34,57.4443,69.1676,51.5826,114.8886,42.204,63.306,32.8253,26.9637,113.7163,62.1336,71.5123,82.0633,41.0317,83.2356,49.238,52.755,86.7526,69.1676,36.3423,1.1723,114.8886,51.5826,42.204,31.653,98.476,53.9273,18.7573,77.374,64.4783,52.755,39.8593,1.1723,69.1676,62.1336,57.4443,94.959,70.34,42.204,56.272,14.068,105.51,114.8886,78.5463,31.653,29.3083,82.0633,86.7526,7.034,84.408,112.544,110.1993,85.5803,62.1336,33.9977,52.755,98.476,28.136,86.7526,43.3763,97.3036,26.9637,38.687,62.1336,62.1336,30.4807,58.6166,42.204,59.789,73.857,97.3036,39.8593,99.6483,112.544,49.238,9.3787,14.068,22.2743,94.959,80.891,96.1313,32.8253,4.6893,80.891,16.4127,76.2016,45.721,7.034,64.4783,94.959,89.0973,97.3036,104.3376,103.1653,80.891,103.1653,25.7913,21.102,22.2743,107.8546,90.2696,69.1676,29.3083,2.3447,109.027,31.653,117.2333,80.891,42.204,98.476,18.7573,114.8886,78.5463,75.0293,91.442,8.2063,48.0657,15.2403,77.374,69.1676,9.3787,37.5147,62.1336,44.5487,73.857,109.027,90.2696,16.4127,109.027,77.374,7.034,48.0657,39.8593,82.0633,80.891,21.102,72.6846,29.3083,7.034,105.51,67.9953,22.2743,67.9953,16.4127,70.34,85.5803,2.3447,1.1723,85.5803,24.619,85.5803,17.585,99.6483,36.3423,91.442,17.585,15.2403,93.7866,3.517,76.2016,65.6506,79.7186,37.5147,37.5147,109.027,50.4103,57.4443,86.7526,33.9977,37.5147,53.9273,92.6143,59.789,110.1993,70.34,4.6893,56.272,41.0317,82.0633,56.272,70.34
Node_5,110.0478,20.3349,8.3732,47.8469,117.2249,32.2967,44.2584,39.4737,47.8469,46.6507,99.2823,101.6746,32.2967,7.177,64.5933,98.0861,65.7895,88.5167,32.2967,74.1627,40.6699,81.3397,32.2967,83.7321,100.4785,62.201,21.5311,3.5885,102.8708,37.0813,118.4211,116.0287,34.689,100.4785,116.0287,107.6555,58.6124,95.6938,41.866,33.4928,40.6699,8.3732,74.1627,59.8086,50.2392,40.6699,104.067,80.1435,81.3397,10.7656,102.8708,27.512,9.5694,112.4402,116.0287,31.1005,95.6938,19.1388,106.4593,71.7703,58.6124,70.5742,52.6316,117.2249,43.0622,64.5933,33.4928,27.512,116.0287,63.3971,72.9665,83.7321,41.866,84.9282,50.2392,53.8278,88.5167,70.5742,37.0813,1.1962,117.2249,52.6316,43.0622,32.2967,100.4785,55.0239,19.1388,78.9474,65.7895,53.8278,40.6699,1.1962,70.5742,63.3971,58.6124,96.89,71.7703,43.0622,57.4163,14.3541,107.6555,117.2249,80.1435,32.2967,29.9043,83.7321,88.5167,7.177,86.1244,114.8325,112.4402,87.3206,63.3971,34.689,53.8278,100.4785,28.7081,88.5167,44.2584,99.2823,27.512,39.4737,63.3971,63.3971,31.1005,59.8086,43.0622,61.0048,75.3589,99.2823,40.6699,101.6746,114.8325,50.2392,9.5694,14.3541,22.7273,96.89,82.5359,98.0861,33.4928,4.7847,82.5359,16.7464,77.7512,46.6507,7.177,65.7895,96.89,90.9091,99.2823,106.4593,105.2632,82.5359,105.2632,26.3158,21.5311,22.7273,110.0478,92.1053,70.5742,29.9043,2.3923,111.244,32.2967,119.6172,82.5359,43.0622,100.4785,19.1388,117.2249,80.1435,76.555,93.3014,8.3732,49.0431,15.5502,78.9474,70.5742,9.5694,38.2775,63.3971,45.4545,75.3589,111.244,92.1053,16.7464,111.244,78.9474,7.177,49.0431,40.6699,83.7321,82.5359,21.5311,74.1627,29.9043,7.177,107.6555,69.378,22.7273,69.378,16.7464,71.7703,87.3206,2.3923,1.1962,87.3206,25.1196,87.3206,17.9426,101.6746,37.0813,93.3014,17.9426,15.5502,95.6938,3.5885,77.7512,66.9856,81.3397,38.2775,38.2775,111.244,51.4354,58.6124,88.5167,34.689,38.2775,55.0239,94.4976,61.0048,112.4402,71.7703,4.7847,57.4163,41.866,83.7321,57.4163,71.7703
Node_6,83.2579,15.3846,6.3348,36.1991,88.6878,24.4344,33.4842,29.8643,36.1991,35.2941,75.1131,76.9231,24.4344,5.4299,48.8688,74.2081,49.7738,66.9683,24.4344,56.1086,30.7692,61.5385,24.4344,63.3484,76.0181,47.0588,16.2896,2.7149,77.8281,28.0543,89.5928,87.7828,26.2443,76.0181,87.7828,81.448,44.3439,72.3982,31.6742,25.3394,30.7692,6.3348,56.1086,45.2489,38.009,30.7692,78.733,60.6335,61.5385,8.1448,77.8281,20.8145,7.2398,85.0679,87.7828,23.5294,72.3982,14.4796,80.543,54.2986,44.3439,53.3937,39.819,88.6878,32.5792,48.8688,25.3394,20.8145,87.7828,47.9638,55.2036,63.3484,31.6742,64.2534,38.009,40.724,66.9683,53.3937,28.0543,0.905,88.6878,39.819,32.5792,24.4344,76.0181,41.629,14.4796,59.7285,49.7738,40.724,30.7692,0.905,53.3937,47.9638,44.3439,73.3032,54.2986,32.5792,43.4389,10.8597,81.448,88.6878,60.6335,24.4344,22.6244,63.3484,66.9683,5.4299,65.1584,86.8778,85.0679,66.0633,47.9638,26.2443,40.724,76.0181,21.7195,66.9683,33.4842,75.1131,20.8145,29.8643,47.9638,47.9638,23.5294,45.2489,32.5792,46.1538,57.0136,75.1131,30.7692,76.9231,86.8778,38.009,7.2398,10.8597,17.1946,73.3032,62.4434,74.2081,25.3394,3.6199,62.4434,12.6697,58.8235,35.2941,5.4299,49.7738,73.3032,68.7783,75.1131,80.543,79.638,62.4434,79.638,19.9095,16.2896,17.1946,83.2579,69.6833,53.3937,22.6244,1.81,84.1629,24.4344,90.4977,62.4434,32.5792,76.0181,14.4796,88.6878,60.6335,57.9186,70.5882,6.3348,37.1041,11.7647,59.7285,53.3937,7.2398,28.9593,47.9638,34.3891,57.0136,84.1629,69.6833,12.6697,84.1629,59.7285,5.4299,37.1041,30.7692,63.3484,62.4434,16.2896,56.1086,22.6244,5.4299,81.448,52.4887,17.1946,52.4887,12.6697,54.2986,66.0633,1.81,0.905,66.0633,19.0045,66.0633,13.5747,76.9231,28.0543,70.5882,13.5747,11.7647,72.3982,2.7149,58.8235,50.6787,61.5385,28.9593,28.9593,84.1629,38.914,44.3439,66.9683,26.2443,28.9593,41.629,71.4932,46.1538,85.0679,54.2986,3.6199,43.4389,31.6742,63.3484,43.4389,54.2986
Node_7,136.2963,25.1852,10.3704,59.2593,145.1852,40,54.8148,48.8889,59.2593,57.7778,122.963,125.9259,40,8.8889,80,121.4815,81.4815,109.6296,40,91.8519,50.3704,100.7407,40,103.7037,124.4444,77.037,26.6667,4.4444,127.4074,45.9259,146.6667,143.7037,42.963,124.4444,143.7037,133.3333,72.5926,118.5185,51.8519,41.4815,50.3704,10.3704,91.8519,74.0741,62.2222,50.3704,128.8889,99.2593,100.7407,13.3333,127.4074,34.0741,11.8519,139.2593,143.7037,38.5185,118.5185,23.7037,131.8519,88.8889,72.5926,87.4074,65.1852,145.1852,53.3333,80,41.4815,34.0741,143.7037,78.5185,90.3704,103.7037,51.8519,105.1852,62.2222,66.6667,109.6296,87.4074,45.9259,1.4815,145.1852,65.1852,53.3333,40,124.4444,68.1481,23.7037,97.7778,81.4815,66.6667,50.3704,1.4815,87.4074,78.5185,72.5926,120,88.8889,53.3333,71.1111,17.7778,133.3333,145.1852,99.2593,40,37.037,103.7037,109.6296,8.8889,106.6667,142.2222,139.2593,108.1481,78.5185,42.963,66.6667,124.4444,35.5556,109.6296,54.8148,122.963,34.0741,48.8889,78.5185,78.5185,38.5185,74.0741,53.3333,75.5556,93.3333,122.963,50.3704,125.9259,142.2222,62.2222,11.8519,17.7778,28.1481,120,102.2222,121.4815,41.4815,5.9259,102.2222,20.7407,96.2963,57.7778,8.8889,81.4815,120,112.5926,122.963,131.8519,130.3704,102.2222,130.3704,32.5926,26.6667,28.1481,136.2963,114.0741,87.4074,37.037,2.963,137.7778,40,148.1481,102.2222,53.3333,124.4444,23.7037,145.1852,99.2593,94.8148,115.5556,10.3704,60.7407,19.2593,97.7778,87.4074,11.8519,47.4074,78.5185,56.2963,93.3333,137.7778,114.0741,20.7407,137.7778,97.7778,8.8889,60.7407,50.3704,103.7037,102.2222,26.6667,91.8519,37.037,8.8889,133.3333,85.9259,28.1481,85.9259,20.7407,88.8889,108.1481,2.963,1.4815,108.1481,31.1111,108.1481,22.2222,125.9259,45.9259,115.5556,22.2222,19.2593,118.5185,4.4444,96.2963,82.963,100.7407,47.4074,47.4074,137.7778,63.7037,72.5926,109.6296,42.963,47.4074,68.1481,117.037,75.5556,139.2593,88.8889,5.9259,71.1111,51.8519,103.7037,71.1111,88.8889
Node_8,84.0183,15.5251,6.3927,36.5297,89.4977,24.6575,33.79,30.137,36.5297,35.6164,75.7991,77.6256,24.6575,5.4795,49.3151,74.8858,50.2283,67.5799,24.6575,56.621,31.0502,62.1005,24.6575,63.9269,76.7123,47.4886,16.4384,2.7397,78.5388,28.3105,90.411,88.5845,26.484,76.7123,88.5845,82.1918,44.7489,73.0594,31.9635,25.5708,31.0502,6.3927,56.621,45.6621,38.3562,31.0502,79.4521,61.1872,62.1005,8.2192,78.5388,21.0046,7.3059,85.8447,88.5845,23.7443,73.0594,14.6119,81.2785,54.7945,44.7489,53.8813,40.1826,89.4977,32.8767,49.3151,25.5708,21.0046,88.5845,48.4018,55.7078,63.9269,31.9635,64.8402,38.3562,41.0959,67.5799,53.8813,28.3105,0.9132,89.4977,40.1826,32.8767,24.6575,76.7123,42.0091,14.6119,60.274,50.2283,41.0959,31.0502,0.9132,53.8813,48.4018,44.7489,73.9726,54.7945,32.8767,43.8356,10.9589,82.1918,89.4977,61.1872,24.6575,22.8311,63.9269,67.5799,5.4795,65.7534,87.6712,85.8447,66.6667,48.4018,26.484,41.0959,76.7123,21.9178,67.5799,33.79,75.7991,21.0046,30.137,48.4018,48.4018,23.7443,45.6621,32.8767,46.5753,57.5342,75.7991,31.0502,77.6256,87.6712,38.3562,7.3059,10.9589,17.3516,73.9726,63.0137,74.8858,25.5708,3.653,63.0137,12.7854,59.3607,35.6164,5.4795,50.2283,73.9726,69.4064,75.7991,81.2785,80.3653,63.0137,80.3653,20.0913,16.4384,17.3516,84.0183,70.3196,53.8813,22.8311,1.8265,84.9315,24.6575,91.3242,63.0137,32.8767,76.7123,14.6119,89.4977,61.1872,58.4475,71.2329,6.3927,37.4429,11.8721,60.274,53.8813,7.3059,29.2237,48.4018,34.7032,57.5342,84.9315,70.3196,12.7854,84.9315,60.274,5.4795,37.4429,31.0502,63.9269,63.0137,16.4384,56.621,22.8311,5.4795,82.1918,52.968,17.3516,52.968,12.7854,54.7945,66.6667,1.8265,0.9132,66.6667,19.1781,66.6667,13.6986,77.6256,28.3105,71.2329,13.6986,11.8721,73.0594,2.7397,59.3607,51.1416,62.1005,29.2237,29.2237,84.9315,39.2694,44.7489,67.5799,26.484,29.2237,42.0091,72.1461,46.5753,85.8447,54.7945,3.653,43.8356,31.9635,63.9269,43.8356,54.7945
Node_9,101.8826,18.8261,7.7519,44.2968,108.5271,29.9003,40.9745,36.5449,44.2968,43.1894,91.9158,94.1307,29.9003,6.6445,59.8007,90.8084,60.9081,81.9491,29.9003,68.66,37.6523,75.3045,29.9003,77.5194,93.0233,57.5858,19.9336,3.3223,95.2381,34.33,109.6346,107.4197,32.1152,93.0233,107.4197,99.6678,54.2636,88.5936,38.7597,31.0078,37.6523,7.7519,68.66,55.371,46.5116,37.6523,96.3455,74.1971,75.3045,9.9668,95.2381,25.4707,8.8594,104.0975,107.4197,28.7929,88.5936,17.7187,98.5604,66.4452,54.2636,65.3378,48.7265,108.5271,39.8671,59.8007,31.0078,25.4707,107.4197,58.6932,67.5526,77.5194,38.7597,78.6268,46.5116,49.8339,81.9491,65.3378,34.33,1.1074,108.5271,48.7265,39.8671,29.9003,93.0233,50.9413,17.7187,73.0897,60.9081,49.8339,37.6523,1.1074,65.3378,58.6932,54.2636,89.701,66.4452,39.8671,53.1561,13.289,99.6678,108.5271,74.1971,29.9003,27.6855,77.5194,81.9491,6.6445,79.7342,106.3123,104.0975,80.8416,58.6932,32.1152,49.8339,93.0233,26.5781,81.9491,40.9745,91.9158,25.4707,36.5449,58.6932,58.6932,28.7929,55.371,39.8671,56.4784,69.7674,91.9158,37.6523,94.1307,106.3123,46.5116,8.8594,13.289,21.041,89.701,76.412,90.8084,31.0078,4.4297,76.412,15.5039,71.9823,43.1894,6.6445,60.9081,89.701,84.1639,91.9158,98.5604,97.4529,76.412,97.4529,24.3632,19.9336,21.041,101.8826,85.2713,65.3378,27.6855,2.2148,102.99,29.9003,110.742,76.412,39.8671,93.0233,17.7187,108.5271,74.1971,70.8749,86.3787,7.7519,45.4042,14.3965,73.0897,65.3378,8.8594,35.4374,58.6932,42.0819,69.7674,102.99,85.2713,15.5039,102.99,73.0897,6.6445,45.4042,37.6523,77.5194,76.412,19.9336,68.66,27.6855,6.6445,99.6678,64.2303,21.041,64.2303,15.5039,66.4452,80.8416,2.2148,1.1074,80.8416,23.2558,80.8416,16.6113,94.1307,34.33,86.3787,16.6113,14.3965,88.5936,3.3223,71.9823,62.0155,75.3045,35.4374,35.4374,102.99,47.619,54.2636,81.9491,32.1152,35.4374,50.9413,87.4862,56.4784,104.0975,66.4452,4.4297,53.1561,38.7597,77.5194,53.1561,66.4452
Node_10,81.9234,15.138,6.2333,35.6189,87.2663,24.0427,32.9475,29.3856,35.6189,34.7284,73.9092,75.6901,24.0427,5.3428,48.0855,73.0187,48.976,65.8949,24.0427,55.2093,30.276,60.5521,24.0427,62.333,74.7996,46.3045,16.0285,2.6714,76.5806,27.6046,88.1567,86.3758,25.8237,74.7996,86.3758,80.1425,43.6331,71.2378,31.1665,24.9332,30.276,6.2333,55.2093,44.5236,37.3998,30.276,77.4711,59.6616,60.5521,8.0142,76.5806,20.4809,7.1238,83.7044,86.3758,23.1523,71.2378,14.2476,79.252,53.4283,43.6331,52.5378,39.1808,87.2663,32.057,48.0855,24.9332,20.4809,86.3758,47.195,54.3188,62.333,31.1665,63.2235,37.3998,40.0712,65.8949,52.5378,27.6046,0.8905,87.2663,39.1808,32.057,24.0427,74.7996,40.9617,14.2476,58.7711,48.976,40.0712,30.276,0.8905,52.5378,47.195,43.6331,72.1282,53.4283,32.057,42.7427,10.6857,80.1425,87.2663,59.6616,24.0427,22.2618,62.333,65.8949,5.3428,64.114,85.4853,83.7044,65.0045,47.195,25.8237,40.0712,74.7996,21.3713,65.8949,32.9475,73.9092,20.4809,29.3856,47.195,47.195,23.1523,44.5236,32.057,45.4141,56.0997,73.9092,30.276,75.6901,85.4853,37.3998,7.1238,10.6857,16.919,72.1282,61.4426,73.0187,24.9332,3.5619,61.4426,12.4666,57.8807,34.7284,5.3428,48.976,72.1282,67.6759,73.9092,79.252,78.3615,61.4426,78.3615,19.5904,16.0285,16.919,81.9234,68.5663,52.5378,22.2618,1.7809,82.8139,24.0427,89.0472,61.4426,32.057,74.7996,14.2476,87.2663,59.6616,56.9902,69.4568,6.2333,36.5093,11.5761,58.7711,52.5378,7.1238,28.4951,47.195,33.8379,56.0997,82.8139,68.5663,12.4666,82.8139,58.7711,5.3428,36.5093,30.276,62.333,61.4426,16.0285,55.2093,22.2618,5.3428,80.1425,51.6474,16.919,51.6474,12.4666,53.4283,65.0045,1.7809,0.8905,65.0045,18.6999,65.0045,13.3571,75.6901,27.6046,69.4568,13.3571,11.5761,71.2378,2.6714,57.8807,49.8664,60.5521,28.4951,28.4951,82.8139,38.2903,43.6331,65.8949,25.8237,28.4951,40.9617,70.3473,45.4141,83.7044,53.4283,3.5619,42.7427,31.1665,62.333,42.7427,53.4283
