,Task_1,Task_2,Task_3,Task_4,Task_5,Task_6,Task_7,Task_8,Task_9,Task_10,Task_11,Task_12,Task_13,Task_14,Task_15,Task_16,Task_17,Task_18,Task_19,Task_20,Task_21,Task_22,Task_23,Task_24,Task_25,Task_26,Task_27,Task_28,Task_29,Task_30,Task_31,Task_32,Task_33,Task_34,Task_35,Task_36,Task_37,Task_38,Task_39,Task_40,Task_41,Task_42,Task_43,Task_44,Task_45,Task_46,Task_47,Task_48,Task_49,Task_50,Task_51,Task_52,Task_53,Task_54,Task_55,Task_56,Task_57,Task_58,Task_59,Task_60,Task_61,Task_62,Task_63,Task_64,Task_65,Task_66,Task_67,Task_68,Task_69,Task_70,Task_71,Task_72,Task_73,Task_74,Task_75,Task_76,Task_77,Task_78,Task_79,Task_80
Node_1,16.7574,5.8651,12.5681,1.0473,11.3113,0.4189,8.3787,16.9669,10.4734,11.1018,7.7503,12.3586,13.6154,5.8651,14.2438,0.4189,19.2711,8.7977,2.3041,16.9669,14.4533,10.6829,0.4189,15.9196,6.9124,13.4059,5.8651,3.7704,11.1018,20.1089,8.1693,13.1965,3.7704,18.0142,12.5681,5.8651,18.8521,1.2568,3.9799,19.4805,4.6083,15.5006,12.3586,13.4059,5.0272,16.3385,13.6154,20.9468,15.9196,2.5136,12.7775,12.7775,7.1219,1.2568,2.5136,6.284,12.987,17.1764,3.7704,15.0817,0.2095,16.129,8.1693,15.2912,14.8722,16.7574,18.0142,10.8923,2.5136,15.9196,6.4935,7.7503,8.3787,19.69,17.3858,1.4663,12.3586,12.987,2.9326,19.4805
Node_2,20.4708,7.1648,15.3531,1.2794,13.8178,0.5118,10.2354,20.7267,12.7943,13.5619,9.4678,15.0972,16.6325,7.1648,17.4002,0.5118,23.5415,10.7472,2.8147,20.7267,17.6561,13.0502,0.5118,19.4473,8.4442,16.3767,7.1648,4.6059,13.5619,24.565,9.9795,16.1208,4.6059,22.0061,15.3531,7.1648,23.0297,1.5353,4.8618,23.7973,5.6295,18.9355,15.0972,16.3767,6.1412,19.9591,16.6325,25.5885,19.4473,3.0706,15.609,15.609,8.7001,1.5353,3.0706,7.6766,15.8649,20.9826,4.6059,18.4237,0.2559,19.7032,9.9795,18.6796,18.1679,20.4708,22.0061,13.306,3.0706,19.4473,7.9324,9.4678,10.2354,24.0532,21.2385,1.7912,15.0972,15.8649,3.5824,23.7973
Node_3,25.5265,8.9343,19.1449,1.5954,17.2304,0.6382,12.7632,25.8456,15.9541,16.9113,11.806,18.8258,20.7403,8.9343,21.6975,0.6382,29.3555,13.4014,3.5099,25.8456,22.0166,16.2731,0.6382,24.2502,10.5297,20.4212,8.9343,5.7435,16.9113,30.6318,12.4442,20.1021,5.7435,27.441,19.1449,8.9343,28.7173,1.9145,6.0625,29.6745,7.0198,23.612,18.8258,20.4212,7.6579,24.8883,20.7403,31.9081,24.2502,3.829,19.4639,19.4639,10.8488,1.9145,3.829,9.5724,19.783,26.1646,5.7435,22.9738,0.3191,24.5692,12.4442,23.2929,22.6548,25.5265,27.441,16.5922,3.829,24.2502,9.8915,11.806,12.7632,29.9936,26.4837,2.2336,18.8258,19.783,4.4671,29.6745
Node_4,97.4421,34.1048,73.0816,6.0901,65.7734,2.4361,48.7211,98.6602,60.9013,64.5554,45.067,71.8636,79.1717,34.1048,82.8258,2.4361,112.0585,51.1571,13.3983,98.6602,84.0438,62.1194,2.4361,92.57,40.1949,77.9537,34.1048,21.9245,64.5554,116.9306,47.503,76.7357,21.9245,104.7503,73.0816,34.1048,109.6224,7.3082,23.1425,113.2765,26.7966,90.134,71.8636,77.9537,29.2326,95.0061,79.1717,121.8027,92.57,14.6163,74.2996,74.2996,41.4129,7.3082,14.6163,36.5408,75.5177,99.8782,21.9245,87.6979,1.218,93.7881,47.503,88.916,86.4799,97.4421,104.7503,63.3374,14.6163,92.57,37.7588,45.067,48.7211,114.4945,101.0962,8.5262,71.8636,75.5177,17.0524,113.2765
Node_5,54.5331,19.0866,40.8998,3.4083,36.8098,1.3633,27.2665,55.2147,34.0832,36.1282,25.2215,40.2181,44.3081,19.0866,46.3531,1.3633,62.713,28.6299,7.4983,55.2147,47.0348,34.7648,1.3633,51.8064,22.4949,43.6264,19.0866,12.2699,36.1282,65.4397,26.5849,42.9448,12.2699,58.623,40.8998,19.0866,61.3497,4.09,12.9516,63.3947,14.9966,50.4431,40.2181,43.6264,16.3599,53.1697,44.3081,68.1663,51.8064,8.18,41.5815,41.5815,23.1766,4.09,8.18,20.4499,42.2631,55.8964,12.2699,49.0798,0.6817,52.4881,26.5849,49.7614,48.3981,54.5331,58.623,35.4465,8.18,51.8064,21.1316,25.2215,27.2665,64.0763,56.5781,4.7716,40.2181,42.2631,9.5433,63.3947
Node_6,85.5615,29.9465,64.1711,5.3476,57.754,2.139,42.7807,86.631,53.4759,56.6845,39.5722,63.1016,69.5187,29.9465,72.7273,2.139,98.3957,44.9198,11.7647,86.631,73.7968,54.5455,2.139,81.2834,35.2941,68.4492,29.9465,19.2513,56.6845,102.6738,41.7112,67.3797,19.2513,91.9786,64.1711,29.9465,96.2567,6.4171,20.3209,99.4652,23.5294,79.1444,63.1016,68.4492,25.6684,83.4225,69.5187,106.9519,81.2834,12.8342,65.2406,65.2406,36.3636,6.4171,12.8342,32.0856,66.3102,87.7005,19.2513,77.0053,1.0695,82.3529,41.7112,78.0749,75.9358,85.5615,91.9786,55.615,12.8342,81.2834,33.1551,39.5722,42.7807,100.5348,88.7701,7.4866,63.1016,66.3102,14.9733,99.4652
Node_7,57.3477,20.0717,43.0108,3.5842,38.7097,1.4337,28.6738,58.0645,35.8423,37.9928,26.5233,42.2939,46.595,20.0717,48.7455,1.4337,65.9498,30.1075,7.8853,58.0645,49.4624,36.5591,1.4337,54.4803,23.6559,45.8781,20.0717,12.9032,37.9928,68.8172,27.957,45.1613,12.9032,61.6487,43.0108,20.0717,64.5161,4.3011,13.6201,66.6667,15.7706,53.0466,42.2939,45.8781,17.2043,55.914,46.595,71.6846,54.4803,8.6022,43.7276,43.7276,24.3728,4.3011,8.6022,21.5054,44.4444,58.7814,12.9032,51.6129,0.7168,55.1971,27.957,52.3297,50.8961,57.3477,61.6487,37.276,8.6022,54.4803,22.2222,26.5233,28.6738,67.3835,59.4982,5.0179,42.2939,44.4444,10.0358,66.6667
Node_8,84.3882,29.5359,63.2911,5.2743,56.962,2.1097,42.1941,85.443,52.7426,55.9072,39.0295,62.2363,68.5654,29.5359,71.73,2.1097,97.0464,44.3038,11.6034,85.443,72.7848,53.7975,2.1097,80.1688,34.8101,67.5105,29.5359,18.9873,55.9072,101.2658,41.1392,66.4557,18.9873,90.7173,63.2911,29.5359,94.9367,6.3291,20.0422,98.1013,23.2068,78.0591,62.2363,67.5105,25.3165,82.2785,68.5654,105.4852,80.1688,12.6582,64.346,64.346,35.865,6.3291,12.6582,31.6456,65.4008,86.4979,18.9873,75.9494,1.0549,81.2236,41.1392,77.0042,74.8945,84.3882,90.7173,54.8523,12.6582,80.1688,32.7004,39.0295,42.1941,99.1561,87.5527,7.384,62.2363,65.4008,14.7679,98.1013
Node_9,157.7909,55.2268,118.3432,9.8619,106.5089,3.9448,78.8955,159.7633,98.6193,104.5365,72.9783,116.3708,128.2051,55.2268,134.1223,3.9448,181.4596,82.8402,21.6963,159.7633,136.0947,100.5917,3.9448,149.9014,65.0888,126.2327,55.2268,35.503,104.5365,189.3491,76.9231,124.2604,35.503,169.6252,118.3432,55.2268,177.5148,11.8343,37.4753,183.432,43.3925,145.9566,116.3708,126.2327,47.3373,153.8462,128.2051,197.2387,149.9014,23.6686,120.3156,120.3156,67.0611,11.8343,23.6686,59.1716,122.288,161.7357,35.503,142.0118,1.9724,151.8738,76.9231,143.9842,140.0394,157.7909,169.6252,102.5641,23.6686,149.9014,61.144,72.9783,78.8955,185.4043,163.7081,13.8067,116.3708,122.288,27.6134,183.432
Node_10,140.8451,49.2958,105.6338,8.8028,95.0704,3.5211,70.4225,142.6056,88.0282,93.3099,65.1408,103.8732,114.4366,49.2958,119.7183,3.5211,161.9718,73.9437,19.3662,142.6056,121.4789,89.7887,3.5211,133.8028,58.0986,112.6761,49.2958,31.6901,93.3099,169.0141,68.662,110.9155,31.6901,151.4085,105.6338,49.2958,158.4507,10.5634,33.4507,163.7324,38.7324,130.2817,103.8732,112.6761,42.2535,137.3239,114.4366,176.0563,133.8028,21.1268,107.3944,107.3944,59.8592,10.5634,21.1268,52.8169,109.1549,144.3662,31.6901,126.7606,1.7606,135.5634,68.662,128.5211,125,140.8451,151.4085,91.5493,21.1268,133.8028,54.5775,65.1408,70.4225,165.493,146.1268,12.3239,103.8732,109.1549,24.6479,163.7324
Node_11,60.015,21.0053,45.0113,3.7509,40.5101,1.5004,30.0075,60.7652,37.5094,39.7599,27.7569,44.2611,48.7622,21.0053,51.0128,1.5004,69.0173,31.5079,8.2521,60.7652,51.7629,38.2596,1.5004,57.0143,24.7562,48.012,21.0053,13.5034,39.7599,72.018,29.2573,47.2618,13.5034,64.5161,45.0113,21.0053,67.5169,4.5011,14.2536,69.7674,16.5041,55.5139,44.2611,48.012,18.0045,58.5146,48.7622,75.0188,57.0143,9.0023,45.7614,45.7614,25.5064,4.5011,9.0023,22.5056,46.5116,61.5154,13.5034,54.0135,0.7502,57.7644,29.2573,54.7637,53.2633,60.015,64.5161,39.0098,9.0023,57.0143,23.2558,27.7569,30.0075,70.5176,62.2656,5.2513,44.2611,46.5116,10.5026,69.7674
